year,P,LP,VUS,LB,B,total_unique_variants
1991,0,0,0,0,1,1
1992,5,0,0,0,1,6
1993,5,0,0,0,1,6
1994,11,0,0,0,1,12
1995,11,0,0,0,1,12
1996,11,0,0,0,1,12
1997,22,0,0,0,1,23
1998,31,0,0,0,1,32
1999,36,0,0,0,1,37
2000,46,0,0,0,1,47
2001,57,0,0,0,1,58
2002,72,0,1,0,1,74
2003,87,0,1,0,1,89
2004,97,0,1,0,1,99
2005,110,0,3,0,2,115
2006,121,0,4,0,2,127
2007,134,0,4,0,2,140
2008,140,0,5,1,2,148
2009,160,0,7,1,4,172
2010,263,1,22,1,13,300
2011,522,11,56,1,18,608
2012,610,15,71,9,24,729
2013,695,26,83,9,36,849
2014,787,44,110,20,70,1031
2015,858,60,154,67,161,1300
2016,943,83,253,138,192,1609
2017,1020,108,428,228,240,2024
2018,1161,173,1534,585,1099,4552
2019,1368,250,1828,1046,1278,5770
2020,1447,283,2081,1446,1308,6565
2021,1565,334,2941,2074,1568,8482
2022,1735,438,4628,2913,1591,11305
2023,2002,565,6603,5211,1649,16030
2024,2172,900,10653,6727,1687,22139
2025,2366,994,13580,8251,1943,27134
2026,2387,1007,13733,8472,2184,27783
