year,P,LP,VUS,LB,B
1990.0,2,0,0,0,1
1991.0,3,0,0,0,1
1992.0,12,0,0,0,1
1995.0,14,0,0,0,1
1996.0,17,0,0,0,1
1997.0,22,0,0,0,1
1998.0,25,0,0,0,1
1999.0,26,0,0,0,1
2000.0,28,0,0,0,1
2001.0,29,0,0,0,1
2002.0,32,0,0,0,1
2003.0,34,0,0,0,1
2004.0,36,0,0,0,1
2005.0,37,0,0,0,1
2006.0,38,0,0,0,1
2007.0,39,0,0,0,1
2008.0,45,0,0,0,1
2010.0,46,0,1,0,1
2011.0,53,0,5,0,1
2012.0,55,0,10,0,1
2013.0,58,1,10,0,2
2014.0,70,2,14,0,2
2015.0,78,5,20,2,13
2016.0,116,26,39,10,91
2017.0,171,146,131,65,122
2018.0,297,284,516,292,662
2019.0,409,406,654,551,825
2020.0,536,532,846,846,902
2021.0,738,702,1197,1384,1062
2022.0,985,1054,1947,2147,1085
2023.0,1205,1282,2747,3756,1138
2024.0,1439,1913,4421,4707,1191
2025.0,1690,2308,6292,5707,1327
2026.0,1716,2351,6402,5934,1423
