year,P,LP,VUS,LB,B,total_unique_variants
1990,2,0,0,0,1,3
1991,3,0,0,0,1,4
1992,12,0,0,0,1,13
1993,12,0,0,0,1,13
1994,12,0,0,0,1,13
1995,14,0,0,0,1,15
1996,17,0,0,0,1,18
1997,22,0,0,0,1,23
1998,25,0,0,0,1,26
1999,26,0,0,0,1,27
2000,28,0,0,0,1,29
2001,29,0,0,0,1,30
2002,32,0,0,0,1,33
2003,34,0,0,0,1,35
2004,36,0,0,0,1,37
2005,37,0,0,0,1,38
2006,38,0,0,0,1,39
2007,39,0,0,0,1,40
2008,45,0,0,0,1,46
2009,45,0,0,0,1,46
2010,46,0,1,0,1,48
2011,53,0,5,0,1,59
2012,55,0,10,0,1,66
2013,58,1,10,0,2,71
2014,70,2,14,0,2,88
2015,78,5,20,2,13,118
2016,116,26,39,8,91,280
2017,162,139,131,55,118,605
2018,277,270,512,260,638,1957
2019,392,374,648,509,797,2720
2020,509,492,836,793,864,3494
2021,696,643,1182,1322,997,4840
2022,918,973,1928,2070,1020,6909
2023,1125,1160,2714,3658,1079,9736
2024,1264,1723,4375,4595,1123,13080
2025,1447,2049,6235,5510,1246,16487
2026,1469,2082,6342,5625,1369,16887
