year,P,LP,VUS,LB,B,total_unique_variants
1997,3,0,0,0,0,3
1998,3,0,0,0,0,3
1999,3,0,0,0,0,3
2000,4,0,0,0,0,4
2001,4,0,0,0,0,4
2002,12,0,0,0,0,12
2003,17,0,0,0,0,17
2004,18,0,0,0,0,18
2005,21,0,0,0,0,21
2006,28,0,0,0,0,28
2007,50,0,0,0,0,50
2008,56,0,0,0,0,56
2009,74,0,1,0,3,78
2010,112,0,1,1,18,132
2011,217,0,15,5,30,267
2012,250,3,21,6,38,318
2013,280,6,29,6,70,391
2014,334,12,62,8,110,526
2015,424,17,112,18,138,709
2016,470,38,251,64,157,980
2017,570,69,491,133,159,1422
2018,685,119,1233,415,491,2943
2019,769,152,1429,667,580,3597
2020,862,189,1897,941,603,4492
2021,1019,291,2959,1599,772,6640
2022,1367,464,5516,2816,785,10948
2023,1760,736,6285,4623,830,14234
2024,1879,1250,8318,5969,861,18277
2025,2069,1275,9396,7323,932,20995
2026,2100,1280,9434,7486,1057,21357
