year,P,LP,VUS,LB,B,total_unique_variants
1991,3,0,0,0,0,3
1992,6,0,0,0,0,6
1993,8,0,0,0,0,8
1994,9,0,0,0,0,9
1995,11,0,0,0,0,11
1996,13,0,0,0,0,13
1997,16,0,0,0,0,16
1998,42,0,0,0,0,42
1999,48,0,0,0,0,48
2000,64,0,0,0,0,64
2001,70,0,0,0,0,70
2002,80,0,0,0,0,80
2003,84,0,0,0,0,84
2004,90,0,0,0,0,90
2005,101,0,0,0,0,101
2006,113,0,0,0,0,113
2007,120,0,0,0,0,120
2008,127,0,0,0,0,127
2009,149,0,0,0,0,149
2010,211,0,9,2,4,226
2011,387,5,34,5,7,438
2012,435,7,42,19,38,541
2013,480,15,58,31,59,643
2014,543,41,90,43,84,801
2015,601,49,132,67,144,993
2016,649,95,207,137,184,1272
2017,719,195,404,257,239,1814
2018,839,250,1379,676,1473,4617
2019,917,301,1654,1215,1978,6065
2020,1011,325,2036,2013,2263,7648
2021,1128,399,3136,2870,2321,9854
2022,1353,550,5331,4294,2360,13888
2023,1622,722,7125,6378,2462,18309
2024,1742,1038,10787,8101,2565,24233
2025,1889,1108,13744,10187,2912,29840
2026,1897,1112,13839,10229,3234,30311
