year,P,LP,VUS,LB,B,total_unique_variants
1972,1,0,0,0,0,1
1973,1,0,0,0,0,1
1974,1,0,0,0,0,1
1975,1,0,0,0,0,1
1976,1,0,0,0,0,1
1977,1,0,0,0,0,1
1978,1,0,0,0,0,1
1979,1,0,0,0,0,1
1980,1,0,0,0,0,1
1981,1,0,0,0,0,1
1982,2,0,0,0,0,2
1983,5,0,0,0,0,5
1984,6,0,0,0,0,6
1985,6,0,0,0,0,6
1986,6,0,0,0,0,6
1987,7,0,0,0,0,7
1988,11,0,0,0,0,11
1989,26,0,0,0,0,26
1990,48,0,0,0,0,48
1991,58,0,0,0,0,58
1992,63,0,0,0,0,63
1993,67,0,0,0,0,67
1994,79,0,0,0,0,79
1995,89,0,0,0,0,89
1996,113,0,0,0,0,113
1997,145,0,0,0,0,145
1998,157,0,0,0,0,157
1999,175,0,0,0,0,175
2000,197,0,0,0,0,197
2001,206,0,0,0,0,206
2002,223,0,0,0,0,223
2003,231,0,0,0,0,231
2004,240,0,0,0,1,241
2005,254,0,0,0,1,255
2006,273,0,0,0,1,274
2007,277,0,0,0,1,278
2008,286,0,0,0,1,287
2009,300,0,0,0,1,301
2010,385,1,5,0,2,393
2011,578,23,15,8,6,630
2012,658,27,23,12,18,738
2013,725,34,28,13,25,825
2014,1013,44,110,14,34,1215
2015,1078,59,135,21,68,1361
2016,1134,107,190,34,111,1576
2017,1198,185,372,94,149,1998
2018,1326,242,1253,290,883,3994
2019,1411,306,1449,602,1101,4869
2020,1527,362,1721,979,1320,5909
2021,1681,453,2503,1513,1372,7522
2022,1928,594,3856,2215,1375,9968
2023,2268,869,4880,3646,1407,13070
2024,2456,1345,7035,4635,1457,16928
2025,2638,1463,8408,5702,1560,19771
2026,2664,1473,8473,5841,1706,20157
