transition,n,mean,ci_low,ci_high,median,min,max
LB_to_B,331.0,5.464138083628521,5.150328617462454,5.777947549794589,5.1800136892539355,0.0,13.730321697467488
B_to_LB,97.0,4.900724683700614,4.252808796335578,5.54864057106565,5.418206707734429,0.0,11.145790554414784
P_to_LP,82.0,5.448957446453314,4.199185162288929,6.6987297306177,3.5427789185489393,0.05475701574264202,23.096509240246405
LP_to_P,59.0,3.9787468532117534,3.029323934687999,4.928169771735508,3.07460643394935,0.010951403148528405,14.069815195071868
LB_to_VUS,26.0,4.001158321486863,2.6994198529418707,5.3028967900318555,3.25119780971937,0.865160848733744,17.31690622861054
VUS_to_LB,19.0,4.5736517886091,2.319143923855777,6.828159653362422,2.42299794661191,0.02737850787132101,15.301848049281315
P_to_VUS,17.0,12.981600032210011,9.783293786889113,16.179906277530907,13.982203969883642,0.8076659822039699,22.72416153319644
LP_to_VUS,10.0,4.652156057494867,2.2278414349590454,7.076470680030689,4.464065708418891,0.10951403148528405,12.78302532511978
VUS_to_B,7.0,13.042338906815292,8.237932316624,17.846745497006584,12.33949349760438,7.915126625598905,23.838466803559207
VUS_to_P,6.0,4.739219712525668,2.227156390364569,7.251283034686767,5.149897330595483,0.1806981519507187,7.041752224503765
VUS_to_LP,3.0,4.757472051106547,-0.867798821533329,10.382742923746424,5.122518822724161,2.3326488706365502,6.8172484599589325
P_to_LB,2.0,14.566735112936346,-14.220080545920762,43.35355077179345,14.566735112936346,12.301163586584531,16.83230663928816
B_to_VUS,1.0,0.432580424366872,,,0.432580424366872,0.432580424366872,0.432580424366872
LB_to_P,1.0,11.668720054757015,,,11.668720054757015,11.668720054757015,11.668720054757015
P_to_B,1.0,16.8870636550308,,,16.8870636550308,16.8870636550308,16.8870636550308
