VariationID,first_date,first_bucket,latest_date,latest_bucket,years_to_reclassification,transition
31,2010-09-10,P,2025-06-05,LP,14.735112936344969,P_to_LP
33,2010-09-10,P,2024-05-21,LP,13.69472963723477,P_to_LP
913,1972-06-25,P,2026-01-26,B,53.58795345653662,P_to_B
1428,2006-02-01,P,2022-12-02,LP,16.83230663928816,P_to_LP
2956,2001-04-01,P,2025-05-01,LP,24.082135523613964,P_to_LP
5151,2000-09-01,P,2024-05-16,VUS,23.704312114989733,P_to_VUS
5154,2000-09-01,P,2026-02-04,B,25.426420260095824,P_to_B
5270,2008-09-11,P,2026-01-31,B,17.388090349075977,P_to_B
5272,2008-09-11,P,2026-01-28,B,17.37987679671458,P_to_B
5640,1991-05-15,P,2025-08-26,LP,34.28336755646817,P_to_LP
5781,2005-01-01,P,2026-04-29,LP,21.322381930184804,P_to_LP
5784,1999-09-01,P,2024-03-29,LP,24.57494866529774,P_to_LP
5789,2003-04-01,P,2025-07-13,VUS,22.28336755646817,P_to_VUS
5931,1999-07-02,P,2021-03-26,VUS,21.73305954825462,P_to_VUS
7601,2008-03-01,P,2025-10-01,LP,17.585215605749486,P_to_LP
7746,1988-12-23,P,2025-04-22,LP,36.328542094455855,P_to_LP
7755,1996-12-01,P,2023-10-03,VUS,26.836413415468858,P_to_VUS
7759,2008-01-01,P,2024-03-25,LP,16.229979466119097,P_to_LP
8322,1996-05-01,P,2022-08-19,VUS,26.299794661190965,P_to_VUS
8326,1996-10-10,P,2024-04-29,LP,27.550992470910334,P_to_LP
8327,1996-10-10,P,2024-01-12,LP,27.255304585900067,P_to_LP
8332,1995-05-01,P,2025-09-17,LP,30.38193018480493,P_to_LP
8335,1995-05-01,P,2025-09-18,LP,30.38466803559206,P_to_LP
8340,2000-05-01,P,2019-12-12,LP,19.613963039014372,P_to_LP
8344,2002-08-31,P,2024-01-02,VUS,21.338809034907598,P_to_VUS
8348,2003-08-01,P,2026-01-26,LP,22.48870636550308,P_to_LP
8353,2005-06-15,P,2022-01-25,VUS,16.61327857631759,P_to_VUS
8357,2007-11-01,P,2025-03-04,LP,17.338809034907598,P_to_LP
8752,1996-06-01,P,2025-05-22,VUS,28.971937029431896,P_to_VUS
9158,1996-10-01,P,2026-02-04,B,29.34428473648186,P_to_B
9159,1997-01-01,P,2024-03-15,LP,27.200547570157426,P_to_LP
9160,1997-01-01,P,2025-05-06,LP,28.34223134839151,P_to_LP
9212,1997-10-01,P,2025-11-21,LP,28.139630390143736,P_to_LP
9213,1998-02-01,P,2024-12-20,VUS,26.882956878850102,P_to_VUS
9216,2007-04-01,P,2024-11-21,LP,17.642710472279262,P_to_LP
10030,1989-07-01,P,2021-01-11,LP,31.531827515400412,P_to_LP
10038,1983-09-01,P,2023-07-30,LP,39.90965092402464,P_to_LP
10041,1989-07-01,P,2023-02-14,LP,33.62354551676933,P_to_LP
10045,1989-01-01,P,2017-06-13,LP,28.44626967830253,P_to_LP
10047,1990-06-01,P,2020-04-01,LP,29.83436002737851,P_to_LP
10054,1990-06-01,P,2025-04-23,LP,34.893908281998634,P_to_LP
10063,2000-03-01,P,2024-04-04,LP,24.093086926762492,P_to_LP
10079,1992-03-01,P,2022-10-03,VUS,30.590006844626966,P_to_VUS
10080,2013-10-24,P,2021-09-02,VUS,7.857631759069131,P_to_VUS
10861,2017-01-20,LP,2025-10-03,P,8.700889801505818,LP_to_P
12227,1999-01-01,P,2023-10-25,LP,24.813141683778234,P_to_LP
12229,2003-02-01,P,2025-02-10,LP,22.026009582477755,P_to_LP
12932,2002-09-26,P,2022-04-12,VUS,19.54277891854894,P_to_VUS
17752,2009-03-01,P,2026-02-04,B,16.930869267624914,P_to_B
17754,1996-08-01,P,2025-01-27,VUS,28.490075290896645,P_to_VUS
17760,1995-12-01,P,2024-05-10,LP,28.44079397672827,P_to_LP
17768,1994-06-10,P,2026-01-21,B,31.616700889801507,P_to_B
17770,1998-01-01,P,2025-09-22,LP,27.72347707049966,P_to_LP
17774,2000-01-01,P,2022-05-17,VUS,22.373716632443532,P_to_VUS
18117,1994-04-01,P,2024-03-26,LP,29.984941820670773,P_to_LP
18119,1994-04-01,P,2025-11-13,VUS,31.619438740588638,P_to_VUS
18120,1994-04-01,P,2024-06-18,VUS,30.21492128678987,P_to_VUS
18294,1987-11-01,P,2024-09-23,LP,36.8952772073922,P_to_LP
18301,1997-01-01,P,2024-06-24,LP,27.477070499657767,P_to_LP
21490,2014-11-27,VUS,2026-02-04,B,11.189596167008897,VUS_to_B
35776,2011-08-18,LB,2026-02-04,B,14.466803559206022,LB_to_B
35778,2020-09-29,LP,2025-10-05,P,5.01574264202601,LP_to_P
35801,2011-08-18,LP,2022-11-09,P,11.227926078028748,LP_to_P
36342,2011-08-18,LP,2024-12-06,VUS,13.30321697467488,LP_to_VUS
36343,2011-08-18,B,2026-03-01,LB,14.535249828884325,B_to_LB
36344,2011-08-18,LP,2024-01-05,VUS,12.383299110198495,LP_to_VUS
36345,2015-11-16,VUS,2025-06-09,B,9.56331279945243,VUS_to_B
36354,2011-08-18,LP,2024-05-09,VUS,12.725530458590006,LP_to_VUS
36357,2014-03-07,B,2026-03-01,LB,11.983572895277208,B_to_LB
36358,2011-08-18,LB,2026-01-11,B,14.401095140314853,LB_to_B
36361,2011-08-18,VUS,2024-12-02,B,13.292265571526352,VUS_to_B
36363,2011-08-18,LB,2025-07-14,B,13.905544147843942,LB_to_B
36365,2018-08-31,VUS,2025-05-01,LP,6.666666666666667,VUS_to_LP
60668,2012-06-15,P,2022-04-27,VUS,9.86447638603696,P_to_VUS
129850,2014-08-11,LB,2026-02-01,B,11.477070499657769,LB_to_B
162022,2014-10-01,P,2025-03-11,LP,10.442162902121835,P_to_LP
188774,2014-05-01,LP,2024-11-19,P,10.55441478439425,LP_to_P
188775,2014-05-01,LP,2024-02-10,P,9.779603011635865,LP_to_P
188866,2014-07-07,LP,2026-01-18,P,11.534565366187543,LP_to_P
188891,2014-07-19,LP,2024-03-30,P,9.697467488021903,LP_to_P
188898,2014-07-23,LP,2024-04-29,P,9.768651608487337,LP_to_P
188957,2014-09-05,LP,2025-01-27,P,10.395619438740589,LP_to_P
188979,2014-09-24,LP,2023-01-29,P,8.347707049965777,LP_to_P
188986,2014-09-25,LP,2025-11-19,P,11.151266255989048,LP_to_P
189021,2014-10-16,LP,2025-05-21,P,10.595482546201232,LP_to_P
189035,2014-10-23,LP,2024-03-12,P,9.385352498288844,LP_to_P
189047,2014-11-06,LP,2026-01-09,P,11.175906913073238,LP_to_P
191300,2016-09-28,LB,2026-02-04,B,9.352498288843258,LB_to_B
204016,2014-11-27,VUS,2026-03-01,LB,11.2580424366872,VUS_to_LB
204017,2014-11-27,VUS,2025-12-29,LB,11.08829568788501,VUS_to_LB
204020,2014-11-27,VUS,2026-02-04,B,11.189596167008897,VUS_to_B
204021,2014-11-27,VUS,2026-02-04,B,11.189596167008897,VUS_to_B
204024,2014-11-27,VUS,2017-07-11,LB,2.620123203285421,VUS_to_LB
204026,2014-11-27,VUS,2019-08-15,LB,4.714579055441479,VUS_to_LB
204029,2014-11-27,VUS,2026-01-26,B,11.16495550992471,VUS_to_B
204030,2014-11-27,VUS,2026-02-04,B,11.189596167008897,VUS_to_B
204032,2014-11-27,VUS,2026-02-04,B,11.189596167008897,VUS_to_B
204033,2014-11-27,VUS,2018-09-11,B,3.789185489390828,VUS_to_B
204035,2014-11-27,VUS,2019-06-18,B,4.555783709787817,VUS_to_B
204037,2014-11-27,VUS,2019-06-18,B,4.555783709787817,VUS_to_B
204039,2014-11-27,VUS,2026-02-04,B,11.189596167008897,VUS_to_B
204040,2014-11-27,VUS,2026-01-31,LB,11.178644763860369,VUS_to_LB
204041,2014-11-27,VUS,2021-07-10,B,6.617385352498289,VUS_to_B
204043,2014-11-27,VUS,2026-02-04,B,11.189596167008897,VUS_to_B
204046,2014-11-27,VUS,2021-03-28,LB,6.33264887063655,VUS_to_LB
204047,2014-11-27,VUS,2026-02-04,B,11.189596167008897,VUS_to_B
204049,2014-11-27,VUS,2021-07-10,B,6.617385352498289,VUS_to_B
204050,2014-11-27,VUS,2018-08-07,B,3.693360711841205,VUS_to_B
204052,2014-11-27,VUS,2026-02-04,B,11.189596167008897,VUS_to_B
204054,2014-11-27,VUS,2021-07-10,B,6.617385352498289,VUS_to_B
204056,2014-11-27,VUS,2026-02-04,B,11.189596167008897,VUS_to_B
204057,2014-11-27,VUS,2018-08-07,B,3.693360711841205,VUS_to_B
204058,2014-11-27,VUS,2026-01-28,B,11.170431211498974,VUS_to_B
204061,2014-11-27,VUS,2026-01-05,LB,11.107460643394935,VUS_to_LB
204062,2014-11-27,VUS,2018-01-13,LB,3.1293634496919918,VUS_to_LB
204063,2014-11-27,VUS,2021-07-10,B,6.617385352498289,VUS_to_B
204064,2014-11-27,VUS,2018-08-07,B,3.693360711841205,VUS_to_B
204067,2014-11-27,P,2024-03-27,VUS,9.330595482546201,P_to_VUS
204069,2013-02-01,LP,2026-01-24,P,12.97741273100616,LP_to_P
204072,2013-02-01,LP,2026-01-27,P,12.985626283367557,LP_to_P
204078,2014-11-27,P,2025-06-13,VUS,10.543463381245722,P_to_VUS
204081,2014-11-27,P,2021-11-18,LP,6.976043805612594,P_to_LP
204085,2014-11-27,P,2024-07-19,LP,9.64271047227926,P_to_LP
204089,2014-11-27,P,2024-03-05,LP,9.270362765229295,P_to_LP
204092,2014-11-27,P,2025-11-13,LP,10.962354551676933,P_to_LP
204096,2014-11-27,P,2024-04-29,LP,9.42094455852156,P_to_LP
204106,2014-11-27,P,2025-04-08,LP,10.362765229295004,P_to_LP
204107,2014-11-27,P,2024-05-17,VUS,9.470225872689939,P_to_VUS
204108,2014-11-27,P,2025-09-12,LP,10.792607802874743,P_to_LP
204111,2014-11-27,P,2024-03-11,LP,9.286789869952088,P_to_LP
204116,2014-11-27,P,2025-12-10,LP,11.0362765229295,P_to_LP
204121,2014-11-27,P,2025-06-09,LP,10.532511978097194,P_to_LP
204123,2014-11-27,P,2021-11-30,LP,7.008898015058179,P_to_LP
204126,2014-11-27,P,2022-10-29,LP,7.920602327173169,P_to_LP
204130,2014-11-27,P,2024-03-12,LP,9.289527720739219,P_to_LP
204132,2014-11-27,P,2025-06-02,VUS,10.513347022587268,P_to_VUS
204135,2014-11-27,P,2016-06-03,LP,1.516769336071184,P_to_LP
204136,2014-11-27,P,2024-10-30,LP,9.924709103353868,P_to_LP
204146,2014-11-27,P,2022-02-05,LP,7.19233401779603,P_to_LP
204153,2014-11-27,P,2024-05-25,LP,9.492128678986996,P_to_LP
204155,2014-11-27,P,2026-01-20,LP,11.148528405201917,P_to_LP
204167,2014-11-27,P,2024-05-30,LP,9.505817932922655,P_to_LP
204168,2014-11-27,P,2024-04-29,LP,9.42094455852156,P_to_LP
204178,2014-11-27,P,2017-01-24,LP,2.1601642710472277,P_to_LP
204184,2014-11-27,P,2024-07-18,LP,9.639972621492129,P_to_LP
204199,2014-11-27,P,2023-07-07,LP,8.607802874743326,P_to_LP
204210,2014-11-27,P,2024-02-20,LP,9.232032854209445,P_to_LP
204211,2014-11-27,P,2024-06-12,VUS,9.541409993155373,P_to_VUS
204218,2014-11-27,VUS,2024-01-23,B,9.155373032169747,VUS_to_B
204220,2014-11-27,VUS,2026-02-04,B,11.189596167008897,VUS_to_B
204222,2014-11-27,VUS,2021-07-10,B,6.617385352498289,VUS_to_B
204225,2014-11-27,VUS,2026-02-04,B,11.189596167008897,VUS_to_B
204229,2014-11-27,VUS,2026-01-31,B,11.178644763860369,VUS_to_B
204230,2014-11-27,P,2025-05-30,LP,10.505133470225873,P_to_LP
204231,2014-11-27,P,2024-06-24,LP,9.574264202600958,P_to_LP
204238,2014-11-27,P,2023-11-22,LP,8.985626283367557,P_to_LP
204239,2014-11-27,P,2025-12-17,LP,11.055441478439425,P_to_LP
204252,2014-11-27,P,2025-01-27,LP,10.168377823408624,P_to_LP
204254,2014-11-27,VUS,2021-07-10,LB,6.617385352498289,VUS_to_LB
204256,2014-11-27,VUS,2026-02-04,B,11.189596167008897,VUS_to_B
204257,2014-11-27,VUS,2024-03-14,LB,9.295003422313483,VUS_to_LB
204258,2014-11-27,VUS,2018-11-12,B,3.9589322381930185,VUS_to_B
204259,2014-11-27,VUS,2019-12-08,B,5.02943189596167,VUS_to_B
204260,2014-11-27,VUS,2021-07-10,LB,6.617385352498289,VUS_to_LB
204262,2014-11-27,VUS,2020-10-13,LB,5.878165639972622,VUS_to_LB
204263,2014-11-27,VUS,2026-01-19,B,11.145790554414784,VUS_to_B
204264,2014-11-27,VUS,2026-02-04,B,11.189596167008897,VUS_to_B
204267,2018-05-18,VUS,2025-10-27,LP,7.444216290212183,VUS_to_LP
204270,2017-08-17,VUS,2025-11-28,LP,8.281998631074606,VUS_to_LP
