VariationID,first_date,first_bucket,latest_date,latest_bucket
10453,1990-06-08,P,1990-06-08,P
10455,1992-11-01,P,1992-11-01,P
10456,1992-11-01,P,1992-11-01,P
10457,1992-04-01,P,1992-04-01,P
10458,1992-06-01,P,2022-09-02,P
10460,2019-01-31,P,2019-01-31,P
10462,1992-06-25,P,1992-06-25,P
10463,1992-05-01,P,1992-05-01,P
10464,1995-04-01,P,1995-04-01,P
10465,1995-11-01,P,1995-11-01,P
10466,1996-06-01,P,2026-01-21,P
10467,2003-06-01,P,2026-01-30,P
12122,2025-09-26,P,2025-09-26,P
12123,2025-09-26,P,2025-09-26,P
12124,2007-03-01,P,2007-03-01,P
12125,2021-05-20,VUS,2025-09-26,VUS
16323,2008-02-19,P,2008-02-19,P
16324,2008-02-19,P,2008-02-19,P
16325,2008-02-19,P,2025-02-19,P
16542,2017-10-25,P,2025-10-02,P
16547,2000-04-01,P,2025-10-02,P
16548,2025-10-02,VUS,2025-10-02,VUS
16549,2011-10-15,P,2011-10-15,P
16550,2017-04-27,B,2026-02-04,B
16552,2025-10-02,P,2025-10-02,P
16553,2019-04-26,P,2025-10-02,P
16555,2006-07-01,P,2025-10-02,P
16559,2025-10-02,P,2025-10-02,P
16560,2008-02-01,P,2025-10-02,P
16563,2025-10-02,P,2025-10-02,P
17044,2025-10-02,P,2025-10-02,P
17045,2025-10-02,LP,2025-10-02,LP
17047,2025-10-02,P,2025-10-02,P
17048,2022-01-15,LP,2025-10-22,LP
17056,2013-04-01,B,2026-02-04,B
17057,1990-10-01,B,2026-02-04,B
17058,1990-10-01,P,2025-09-30,P
17059,1992-06-01,P,1992-06-01,P
17060,2020-12-10,LP,2025-09-30,LP
17061,2025-09-30,LP,2025-09-30,LP
17063,2025-09-30,VUS,2025-09-30,VUS
17404,1997-01-01,P,1997-01-01,P
17405,1997-01-01,P,2022-11-01,P
17407,1998-11-01,P,2025-09-10,P
17408,1998-11-01,P,2022-08-27,P
17410,2002-05-01,P,2002-05-01,P
17411,2002-05-01,P,2002-05-01,P
17484,1997-01-01,P,2025-03-17,P
17485,1997-01-01,P,2021-03-31,P
17489,2002-05-01,P,2025-03-04,P
17492,2001-01-01,P,2025-12-20,P
21089,2011-03-10,P,2011-03-10,P
24214,2020-04-30,P,2020-08-04,P
24228,2018-09-16,P,2018-09-16,P
24229,2021-08-24,P,2021-08-24,P
24239,2024-05-18,P,2025-07-14,P
24248,2024-01-20,P,2024-07-18,P
24265,2017-06-22,P,2025-11-18,P
24276,2020-02-01,LP,2020-02-01,LP
24291,2019-12-11,LP,2024-08-08,LP
24296,2015-03-03,B,2024-07-15,B
24300,2019-06-07,P,2025-09-02,P
24302,2017-07-10,P,2024-12-04,P
24303,2018-09-16,P,2018-09-16,P
24312,2015-11-15,P,2024-12-04,P
24325,2017-07-20,P,2025-11-10,P
24330,2024-02-01,P,2024-02-01,P
24341,2020-09-27,P,2020-09-27,P
24349,2018-11-05,LP,2024-04-10,LP
24352,1992-07-01,P,2025-05-19,P
24355,2021-06-09,P,2025-10-30,P
24357,2018-11-07,VUS,2018-11-07,VUS
24358,2018-12-13,B,2023-02-17,B
24364,2016-02-02,P,2024-05-07,P
24365,2015-03-03,B,2026-02-04,B
24383,2021-12-09,P,2022-05-15,P
24386,2018-09-06,P,2024-08-19,P
24397,2017-08-22,P,2017-08-22,P
24398,2015-03-03,B,2026-02-04,B
24405,2020-08-25,P,2021-08-24,P
24406,2019-11-05,LP,2019-11-05,LP
24408,2023-03-08,P,2024-05-07,P
24409,2019-02-28,P,2024-09-06,P
24416,2020-02-01,LP,2020-02-01,LP
24432,2018-09-06,P,2023-06-24,P
24442,2017-02-16,P,2021-03-07,P
24455,2015-01-31,P,2026-03-09,P
24461,2020-02-01,P,2024-12-01,P
24469,2016-03-21,B,2026-02-01,B
24470,2016-01-01,LP,2016-01-01,LP
24481,2015-03-03,B,2026-02-04,B
24482,2019-10-29,P,2025-06-12,P
24486,2019-05-28,B,2019-05-28,B
24499,2020-12-16,P,2025-03-05,P
24507,2020-06-23,LP,2020-06-23,LP
24511,2015-03-03,B,2026-02-04,B
24513,2025-12-30,P,2025-12-30,P
24520,2018-02-27,P,2018-02-27,P
24521,2020-10-25,P,2022-09-02,P
24527,2019-06-04,P,2025-08-02,P
24529,2019-05-16,P,2023-10-22,P
24531,2019-04-27,VUS,2019-04-27,VUS
24543,2017-12-05,P,2025-12-24,P
24557,2019-05-28,LP,2019-05-28,LP
24563,2015-03-03,B,2026-02-04,B
24568,2018-09-16,P,2018-09-16,P
24574,2018-09-16,P,2023-06-28,P
24599,2017-10-18,P,2022-12-14,P
24603,2018-06-26,P,2024-10-10,P
24605,2019-05-10,P,2025-09-08,P
24613,2020-01-03,P,2020-01-03,P
24617,2022-07-13,P,2025-11-09,P
24630,2017-02-23,P,2026-01-17,P
24633,2021-01-15,P,2025-08-07,P
24640,2015-03-03,B,2026-02-04,B
24676,2018-09-25,P,2022-12-07,P
24702,2018-11-02,P,2022-11-15,P
24722,2016-03-21,B,2026-02-04,B
24725,2016-11-21,P,2025-09-17,P
24739,2022-11-29,P,2022-11-29,P
24751,1992-07-01,P,1992-07-01,P
24753,2019-02-01,VUS,2023-12-21,VUS
24755,2017-01-25,P,2025-06-30,P
24761,1991-12-01,P,2024-12-23,P
24775,2019-09-22,P,2019-09-22,P
24780,2021-12-09,P,2024-10-17,P
24785,2018-09-16,P,2026-01-30,P
24786,2021-05-06,P,2025-01-23,P
37236,2010-09-04,P,2010-09-04,P
37239,2012-07-01,VUS,2012-07-01,VUS
37240,2012-07-01,VUS,2023-04-11,VUS
38751,2016-08-23,P,2025-03-05,P
38756,2021-10-05,P,2021-10-05,P
57418,2011-08-12,VUS,2011-08-12,VUS
57893,2011-08-12,VUS,2011-08-12,VUS
58033,2011-08-12,P,2011-08-12,P
58034,2011-08-12,P,2011-08-12,P
58666,2011-08-12,P,2011-08-12,P
59082,2011-08-12,P,2011-08-12,P
65580,2017-04-27,LB,2026-02-02,LB
68845,2012-07-01,VUS,2012-07-01,VUS
74464,2023-12-09,LB,2023-12-09,LB
145317,2010-07-30,VUS,2010-07-30,VUS
150129,2012-06-25,P,2012-06-25,P
150491,2012-10-24,VUS,2012-10-24,VUS
150620,2014-07-18,P,2014-07-18,P
151867,2011-04-30,VUS,2011-04-30,VUS
152738,2013-01-14,P,2013-01-14,P
152845,2011-04-30,VUS,2011-04-30,VUS
153199,2014-03-24,VUS,2014-03-24,VUS
153790,2013-09-18,P,2013-09-18,P
154560,2011-02-11,P,2011-02-11,P
155077,2012-10-01,VUS,2012-10-01,VUS
155660,2014-03-10,P,2014-03-10,P
157562,2020-02-01,VUS,2025-10-02,VUS
191151,2021-07-12,LP,2021-11-19,LP
191253,2023-05-02,LB,2023-05-02,LB
191312,2016-02-02,B,2026-02-04,B
192299,2014-08-01,P,2026-01-11,P
195859,2014-11-21,P,2022-11-27,P
208716,2013-01-28,P,2013-01-28,P
221686,2015-01-07,B,2015-01-07,B
222051,2016-02-02,P,2016-02-02,P
222056,2016-02-02,P,2016-02-02,P
222057,2016-02-02,P,2023-05-23,P
222059,2016-02-02,P,2025-01-01,P
222060,2016-02-02,P,2016-02-02,P
222061,2016-02-02,P,2016-02-02,P
222062,2016-02-02,P,2016-02-02,P
224786,2016-03-18,P,2016-03-18,P
224788,2016-03-18,P,2022-04-23,P
225322,2016-03-18,VUS,2026-01-21,VUS
235348,2015-01-30,LP,2015-01-30,LP
235352,2016-01-22,P,2016-01-22,P
235408,2015-04-16,P,2015-04-16,P
235662,2015-01-30,LP,2022-01-27,LP
242439,2024-09-09,LP,2024-09-09,LP
242441,2017-09-18,P,2025-11-01,P
252469,2015-11-08,B,2026-03-01,B
252470,2015-11-08,VUS,2015-11-08,VUS
253654,2016-01-20,P,2016-01-20,P
254974,2026-02-02,B,2026-02-02,B
254975,2018-06-29,B,2026-02-04,B
254976,2016-03-21,B,2026-02-04,B
254977,2016-03-21,B,2026-02-04,B
254978,2016-03-21,B,2026-02-04,B
254979,2016-03-21,B,2026-02-04,B
254980,2018-08-20,B,2026-02-01,B
254981,2016-03-21,B,2026-02-04,B
254982,2016-03-21,B,2026-02-04,B
254983,2016-03-21,B,2026-02-02,B
254984,2016-03-21,B,2026-02-04,B
254985,2016-03-21,B,2026-02-04,B
254987,2016-03-21,B,2026-02-04,B
254988,2016-03-21,B,2026-02-02,B
254990,2017-05-10,LB,2025-06-11,LB
254994,2017-04-27,B,2026-02-04,B
254995,2016-03-21,B,2026-02-04,B
254996,2016-03-21,B,2026-02-04,B
254997,2018-08-20,B,2026-02-01,B
254999,2017-04-27,B,2026-01-28,B
255000,2016-03-21,B,2026-01-29,B
255001,2016-03-21,B,2026-02-04,B
255003,2017-09-18,B,2026-02-04,B
255004,2016-03-21,B,2026-01-26,B
255005,2016-03-21,B,2026-02-04,B
255006,2016-03-21,B,2026-02-04,B
255007,2018-06-21,B,2026-02-04,B
255008,2016-03-21,B,2026-02-04,B
255009,2016-03-21,B,2026-02-04,B
255010,2016-03-21,B,2026-02-04,B
255011,2017-10-05,B,2024-11-29,B
255012,2017-04-27,B,2026-01-29,B
255013,2016-03-21,B,2026-02-02,B
255014,2016-03-21,B,2026-02-04,B
255015,2016-03-21,B,2026-02-04,B
255016,2016-03-21,B,2026-02-04,B
255018,2016-03-21,B,2026-02-02,B
255019,2016-03-21,B,2026-02-04,B
255020,2016-03-21,B,2026-02-04,B
255021,2016-03-21,B,2026-02-02,B
255022,2025-11-23,LB,2025-11-23,LB
255025,2016-03-21,B,2026-04-01,B
255026,2025-12-23,LB,2025-12-23,LB
255028,2016-03-21,B,2026-02-04,B
255029,2024-02-05,LB,2024-02-05,LB
255030,2016-03-21,B,2026-02-02,B
255031,2016-03-21,B,2026-02-04,B
255032,2016-03-21,B,2026-02-04,B
255033,2016-03-21,B,2026-02-04,B
255034,2016-03-21,B,2026-02-01,B
255035,2016-03-21,B,2026-02-04,B
255036,2016-03-21,B,2026-02-04,B
255038,2016-03-21,B,2026-02-04,B
255040,2016-03-21,B,2026-02-04,B
255041,2016-03-21,B,2026-02-04,B
255042,2020-11-05,LB,2025-12-31,LB
255043,2016-03-21,B,2026-02-04,B
255044,2016-03-21,B,2026-01-24,B
255045,2025-03-12,LB,2025-03-12,LB
256279,2025-12-11,LB,2025-12-11,LB
256280,2016-03-21,B,2026-01-31,B
258267,2017-05-09,B,2026-02-04,B
258268,2022-03-15,B,2025-08-31,B
258269,2022-03-15,B,2025-06-12,B
258270,2017-05-09,B,2026-02-04,B
258271,2017-05-09,B,2026-02-03,B
258272,2017-06-06,B,2026-01-12,B
258273,2018-01-08,B,2026-01-27,B
258274,2017-05-09,B,2026-02-01,B
258275,2017-10-16,B,2026-02-01,B
258276,2018-05-01,B,2026-02-01,B
258277,2018-01-08,B,2026-01-27,B
258278,2018-01-08,B,2026-01-27,B
258279,2026-01-26,LB,2026-01-26,LB
258280,2017-05-09,B,2026-02-02,B
258281,2023-10-29,B,2023-10-29,B
266007,2019-04-10,LP,2025-09-15,LP
280145,2003-02-01,P,2025-12-27,P
280273,2016-10-31,P,2016-10-31,P
280889,2016-09-29,P,2016-09-29,P
283159,2015-09-11,VUS,2015-09-11,VUS
286534,2016-03-02,P,2026-02-06,P
294473,2018-01-12,B,2023-04-11,B
294474,2018-01-13,VUS,2018-01-13,VUS
294475,2018-01-13,LB,2018-01-13,LB
294476,2017-04-28,LB,2017-04-28,LB
294477,2018-01-12,VUS,2018-01-12,VUS
294479,2018-01-12,VUS,2018-01-12,VUS
294480,2018-01-13,B,2026-02-01,B
294481,2018-01-13,VUS,2023-11-28,VUS
294484,2018-01-12,B,2026-01-29,B
294486,2018-01-13,B,2026-02-01,B
294488,2017-04-27,B,2026-02-04,B
294489,2018-01-13,B,2026-02-04,B
294491,2017-04-27,B,2026-02-04,B
294492,2018-01-13,B,2026-02-01,B
294494,2018-01-12,B,2026-02-01,B
294498,2017-04-27,B,2026-02-04,B
294500,2018-01-13,VUS,2018-01-13,VUS
294501,2018-01-13,B,2026-02-02,B
294502,2018-01-13,B,2026-04-09,B
294503,2018-01-12,VUS,2023-09-13,VUS
294504,2017-07-10,B,2026-03-01,B
294505,2018-01-12,LB,2026-04-06,LB
294506,2018-01-12,VUS,2024-11-13,VUS
294507,2018-03-06,B,2026-02-03,B
294509,2017-04-27,B,2026-02-04,B
294514,2018-03-06,B,2026-02-03,B
294518,2018-01-12,VUS,2025-10-02,VUS
294520,2015-06-20,LB,2026-01-21,LB
294523,2018-01-13,LB,2026-01-22,LB
294525,2018-01-13,B,2026-02-02,B
294527,2018-01-12,VUS,2025-10-27,VUS
294528,2018-01-13,B,2023-04-11,B
294529,2018-01-13,B,2023-04-11,B
294531,2018-03-06,B,2026-01-21,B
294532,2018-01-12,VUS,2018-01-12,VUS
294535,2018-01-13,B,2026-01-22,B
294536,2018-01-12,B,2025-10-02,B
294537,2018-01-13,B,2026-01-22,B
294539,2018-01-13,B,2026-01-26,B
294540,2018-01-13,B,2026-01-28,B
294542,2018-01-12,B,2026-01-22,B
294543,2018-01-13,VUS,2023-04-11,VUS
294545,2018-01-12,VUS,2023-04-11,VUS
294546,2018-01-13,VUS,2018-01-13,VUS
294551,2018-01-13,B,2026-01-24,B
294553,2018-01-12,VUS,2018-01-12,VUS
294554,2018-01-12,VUS,2018-01-12,VUS
294555,2018-01-13,VUS,2018-01-13,VUS
294556,2018-01-13,B,2018-01-13,B
294558,2018-01-13,VUS,2018-01-13,VUS
294559,2018-01-13,VUS,2018-01-13,VUS
294560,2018-01-13,B,2018-01-13,B
294561,2018-01-12,VUS,2018-01-12,VUS
294562,2018-01-12,B,2018-01-12,B
294563,2018-01-13,VUS,2018-01-13,VUS
294564,2018-01-13,VUS,2018-01-13,VUS
294967,2018-01-12,VUS,2025-02-09,VUS
294970,2018-01-13,VUS,2018-11-16,VUS
