VariationID,first_date,first_bucket,latest_date,latest_bucket
57,2010-10-01,P,2025-01-26,P
58,2010-10-01,P,2010-10-01,P
59,2010-10-01,P,2010-10-01,P
60,2011-09-01,P,2024-12-13,P
61,2011-09-01,P,2024-01-08,P
1068,2007-07-01,P,2025-10-04,P
1069,2008-08-01,P,2025-10-08,P
1070,2007-07-01,P,2025-10-15,P
1072,2007-07-01,P,2025-06-12,P
1073,2007-07-01,P,2025-05-28,P
1074,2007-07-01,P,2026-01-27,P
1076,2007-07-01,P,2026-01-28,P
1077,2008-08-01,P,2008-08-01,P
1079,2010-01-01,P,2025-05-19,P
1080,2010-01-01,P,2015-02-23,P
1333,2007-07-01,P,2026-01-19,P
1335,2006-06-01,P,2024-01-17,P
1336,2006-06-01,P,2006-06-01,P
1337,2007-07-01,P,2026-03-01,P
1338,2006-09-01,P,2025-06-13,P
1339,2007-07-01,P,2026-01-12,P
1342,2007-07-01,P,2025-10-21,P
1343,2007-11-01,P,2007-11-01,P
1345,2008-04-01,P,2024-09-22,P
1365,2006-02-01,P,2017-12-30,P
1366,2007-01-15,P,2007-01-15,P
1367,2006-02-01,P,2006-02-01,P
1368,2007-01-01,P,2007-01-01,P
1369,2007-01-15,P,2007-01-15,P
1370,2006-02-01,P,2006-02-01,P
1371,2010-01-01,P,2025-11-26,P
1372,2007-01-01,P,2022-10-27,P
1375,2009-02-01,P,2015-02-23,P
1376,2009-10-01,P,2026-02-01,P
1378,2011-07-01,P,2026-02-01,P
1379,2009-02-01,P,2015-02-23,P
1380,2009-02-01,P,2022-12-31,P
1381,2009-02-01,P,2025-03-17,P
1382,2009-10-01,P,2017-06-26,P
1383,2009-10-01,P,2026-01-09,P
1384,2009-10-01,P,2009-10-01,P
1385,2009-10-01,P,2009-10-01,P
1386,2009-10-01,P,2023-08-04,P
1387,2009-10-01,P,2026-01-15,P
1488,2012-12-15,P,2012-12-15,P
1830,2011-02-11,P,2025-07-29,P
1831,2011-02-11,P,2025-12-21,P
1832,2005-03-01,P,2005-03-01,P
1833,2005-03-01,P,2025-10-20,P
1834,2005-03-01,P,2005-03-01,P
2633,2003-08-01,P,2003-08-01,P
2634,2003-08-01,P,2025-04-16,P
2636,2008-04-01,P,2025-07-22,P
2638,2008-04-01,P,2024-05-24,P
2640,2009-05-01,P,2026-02-02,P
3399,2002-11-01,P,2024-07-17,P
3400,2002-10-01,P,2020-04-15,P
3401,2002-11-01,P,2026-01-26,P
3402,2002-10-01,P,2002-10-01,P
3403,2002-11-01,P,2025-10-02,P
3404,2002-11-01,P,2002-11-01,P
3405,2002-11-01,P,2021-08-25,P
3509,1997-10-01,P,1997-10-01,P
3510,2000-06-01,P,2025-12-17,P
11959,2003-08-01,P,2024-04-23,P
11961,2009-04-01,P,2024-05-29,P
11962,2009-04-01,P,2026-02-10,P
11963,2009-04-01,P,2025-07-28,P
30704,2011-11-11,P,2021-09-17,P
30705,2011-11-11,P,2011-11-11,P
30706,2011-11-11,P,2011-11-11,P
30707,2011-11-11,P,2011-11-11,P
30776,2011-01-01,P,2011-01-01,P
30778,2011-01-01,P,2025-12-09,P
30779,2011-01-01,P,2025-12-21,P
30936,2011-03-01,P,2011-03-01,P
30937,2011-03-01,P,2025-04-12,P
30938,2011-03-01,P,2025-09-23,P
30939,2011-03-01,P,2011-03-01,P
32161,2013-07-16,B,2013-07-16,B
32222,2010-05-27,P,2010-05-27,P
32789,2010-12-22,P,2010-12-22,P
33205,2010-08-27,P,2010-08-27,P
33553,2010-05-27,P,2010-05-27,P
34228,2010-02-28,B,2011-08-12,B
34538,2009-12-30,B,2011-08-12,B
37288,2012-08-03,P,2012-08-03,P
37289,2012-08-03,P,2012-08-03,P
37294,2012-08-03,P,2012-08-03,P
37295,2012-08-03,P,2012-08-03,P
37296,2012-08-03,P,2025-08-21,P
37297,2012-08-03,P,2025-08-21,P
37298,2012-08-03,P,2025-08-06,P
55931,2012-03-15,P,2012-03-15,P
56562,2022-08-05,P,2022-08-05,P
56729,2015-02-23,P,2026-02-01,P
56731,2007-07-01,P,2007-07-01,P
56732,2025-12-26,P,2025-12-26,P
56733,2015-02-23,P,2025-09-17,P
56734,2013-01-01,P,2026-01-26,P
56735,2022-04-28,P,2026-04-08,P
56738,2007-07-01,P,2026-01-27,P
56739,2008-01-01,P,2026-01-14,P
56740,2022-05-17,P,2026-01-14,P
56762,2013-09-13,LP,2025-08-03,LP
56766,2025-05-22,VUS,2025-05-22,VUS
56767,2017-07-29,P,2017-07-29,P
56770,2024-12-10,VUS,2024-12-10,VUS
56772,2018-09-05,P,2018-09-05,P
56777,2024-04-30,P,2024-04-30,P
56782,2022-06-09,P,2022-06-09,P
56783,2014-06-18,P,2026-01-11,P
56784,2018-05-23,P,2025-04-17,P
56787,2015-02-23,P,2023-04-08,P
57010,2011-08-12,P,2011-08-12,P
57036,2011-08-12,P,2011-08-12,P
57281,2011-08-12,VUS,2011-08-12,VUS
57302,2011-08-12,P,2011-08-12,P
57318,2011-08-12,P,2011-08-12,P
57342,2011-08-12,VUS,2011-08-12,VUS
57370,2011-08-12,VUS,2011-08-12,VUS
57387,2011-08-12,P,2011-08-12,P
57390,2011-08-12,P,2011-08-12,P
57440,2011-08-12,P,2011-08-12,P
57491,2011-08-12,P,2011-08-12,P
57496,2011-08-12,P,2011-08-12,P
57545,2011-08-12,P,2011-08-12,P
57793,2011-08-12,VUS,2011-08-12,VUS
57803,2011-08-12,P,2011-08-12,P
57806,2011-08-12,P,2011-08-12,P
57829,2011-08-12,P,2011-08-12,P
58041,2011-08-12,P,2011-08-12,P
58116,2011-08-12,P,2011-08-12,P
58133,2011-08-12,P,2011-08-12,P
58135,2011-08-12,P,2011-08-12,P
58137,2011-08-12,P,2011-08-12,P
58142,2011-08-12,P,2011-08-12,P
58242,2011-08-12,P,2011-08-12,P
58244,2011-08-12,P,2011-08-12,P
58294,2011-08-12,P,2011-08-12,P
58594,2011-08-12,P,2011-08-12,P
58906,2011-08-12,VUS,2011-08-12,VUS
59123,2011-08-12,P,2011-08-12,P
59147,2011-08-12,P,2011-08-12,P
59150,2011-08-12,P,2011-08-12,P
59313,2011-08-12,VUS,2011-08-12,VUS
59378,2011-08-12,VUS,2011-08-12,VUS
59394,2011-08-12,VUS,2011-08-12,VUS
59395,2011-08-12,VUS,2011-08-12,VUS
59396,2011-08-12,VUS,2011-08-12,VUS
59428,2011-08-12,P,2011-08-12,P
59467,2011-08-12,P,2011-08-12,P
59468,2011-08-12,P,2011-08-12,P
59486,2011-08-12,P,2011-08-12,P
59487,2011-08-12,P,2011-08-12,P
59489,2011-08-12,P,2011-08-12,P
59490,2011-08-12,P,2011-08-12,P
59654,2011-08-12,P,2011-08-12,P
59738,2010-10-19,P,2010-10-19,P
59742,2011-08-12,B,2011-08-12,B
59743,2011-08-12,B,2011-08-12,B
59744,2011-08-12,B,2011-08-12,B
59745,2011-08-12,B,2011-08-12,B
59746,2011-08-12,B,2011-08-12,B
59772,2011-08-12,P,2011-08-12,P
59774,2011-08-12,P,2011-08-12,P
59846,2011-08-12,P,2011-08-12,P
59852,2011-08-12,P,2011-08-12,P
59856,2011-08-12,P,2011-08-12,P
59875,2011-08-12,P,2011-08-12,P
59881,2011-08-12,P,2011-08-12,P
60091,2011-08-12,VUS,2011-08-12,VUS
60117,2011-08-12,P,2011-08-12,P
60149,2011-08-12,P,2011-08-12,P
60150,2011-08-12,P,2011-08-12,P
60151,2011-08-12,P,2011-08-12,P
60152,2011-08-12,P,2011-08-12,P
60153,2011-08-12,P,2011-08-12,P
60154,2011-08-12,P,2011-08-12,P
60156,2011-08-12,P,2011-08-12,P
60157,2011-08-12,P,2011-08-12,P
60158,2011-08-12,P,2011-08-12,P
60245,2011-08-12,P,2011-08-12,P
60248,2011-08-12,P,2011-08-12,P
60249,2011-08-12,P,2011-08-12,P
60380,2011-08-12,P,2011-08-12,P
60381,2011-08-12,P,2011-08-12,P
60383,2011-08-12,P,2011-08-12,P
60386,2011-08-12,P,2011-08-12,P
60387,2011-08-12,P,2011-08-12,P
64356,2013-08-01,P,2021-02-02,P
64357,2013-08-01,P,2013-08-01,P
64358,2013-08-01,P,2026-01-05,P
64359,2013-08-01,P,2013-08-01,P
65408,2013-06-01,P,2025-11-27,P
79258,2016-05-20,VUS,2025-08-28,VUS
80170,2020-08-11,LP,2025-08-27,LP
92717,2013-10-04,B,2026-01-26,B
92719,2016-01-08,B,2026-02-04,B
93469,2011-01-01,P,2025-10-17,P
95594,2014-04-02,B,2026-02-04,B
95595,2012-08-07,VUS,2023-10-20,VUS
95596,2013-10-03,B,2026-01-09,B
95597,2014-04-02,B,2026-02-04,B
95599,2013-09-25,B,2026-02-02,B
95600,2014-02-21,B,2026-01-28,B
95671,2013-10-01,B,2026-02-04,B
95672,2013-01-09,B,2026-02-01,B
95673,2013-10-01,B,2026-02-04,B
95674,2012-08-28,B,2026-02-02,B
95676,2018-03-14,VUS,2025-11-24,VUS
95677,2013-10-01,B,2026-02-04,B
95678,2013-10-04,B,2026-02-01,B
95679,2013-10-04,B,2026-02-03,B
95681,2012-08-28,B,2026-02-01,B
95683,2013-10-01,B,2026-02-04,B
95684,2013-01-09,VUS,2013-01-09,VUS
95685,2013-04-11,B,2026-02-01,B
95687,2012-08-28,B,2012-08-28,B
95690,2013-09-10,B,2026-02-04,B
95692,2014-02-27,B,2026-02-04,B
95693,2013-04-05,B,2026-03-01,B
96137,2013-10-10,B,2026-02-03,B
96138,2013-10-10,B,2026-02-03,B
96168,2013-08-14,B,2026-02-04,B
96169,2017-03-29,VUS,2025-04-21,VUS
96170,2013-11-20,B,2026-02-04,B
96171,2013-11-20,VUS,2024-06-17,VUS
96173,2013-10-21,VUS,2024-04-19,VUS
96174,2013-05-10,VUS,2013-05-10,VUS
96223,2013-04-05,B,2026-02-03,B
96224,2013-04-05,B,2026-02-04,B
96225,2013-04-05,B,2025-12-08,B
96510,2012-10-08,B,2026-02-02,B
96512,2013-04-11,B,2026-02-04,B
96513,2012-10-08,B,2026-02-04,B
96515,2015-05-22,B,2026-02-01,B
96516,2013-10-21,P,2025-11-05,P
96528,2015-03-03,B,2026-02-04,B
96529,2013-04-05,B,2026-02-04,B
99847,2013-01-01,P,2024-11-30,P
99850,2013-08-02,P,2025-09-23,P
99852,2019-02-12,P,2025-01-23,P
99853,2021-12-12,P,2023-06-06,P
99854,2006-06-01,P,2022-08-20,P
99856,2019-06-23,P,2025-12-17,P
99859,2023-01-05,P,2025-11-10,P
99860,2016-09-01,P,2025-01-17,P
99861,2018-11-01,P,2026-01-28,P
99863,2020-07-23,P,2024-01-24,P
100592,2012-01-01,B,2026-02-04,B
100593,2014-03-21,B,2026-02-04,B
100594,2014-03-21,B,2026-02-02,B
100878,2022-11-02,LB,2025-12-03,LB
126249,2020-09-16,B,2026-02-04,B
126250,2018-06-16,B,2018-06-16,B
126251,2014-04-01,B,2026-02-04,B
126252,2015-03-03,B,2026-02-04,B
126253,2018-06-26,B,2021-07-22,B
126254,2018-06-16,LB,2018-06-16,LB
126256,2013-05-06,B,2013-05-06,B
126257,2014-01-30,B,2026-02-04,B
126258,2015-03-03,B,2026-02-04,B
126259,2014-05-21,B,2026-02-04,B
126261,2018-06-26,B,2018-06-26,B
126263,2014-01-30,B,2026-02-04,B
126264,2018-06-16,B,2018-06-16,B
126265,2018-06-14,B,2018-06-14,B
126266,2014-01-30,B,2026-02-04,B
126267,2018-06-16,B,2018-06-16,B
126268,2018-07-27,LB,2018-07-27,LB
126269,2014-12-23,B,2026-03-01,B
126270,2018-07-06,B,2018-07-06,B
126275,2014-04-15,B,2026-02-04,B
126276,2018-06-14,B,2025-01-31,B
126277,2014-02-27,B,2026-02-04,B
126278,2014-02-18,B,2022-11-14,B
126279,2014-01-30,B,2026-02-04,B
126280,2014-02-27,B,2026-02-04,B
126281,2018-06-29,B,2021-07-10,B
126298,2018-06-16,B,2018-06-16,B
126300,2019-08-06,LB,2019-08-06,LB
126301,2015-03-03,B,2026-02-04,B
126304,2013-05-07,B,2026-03-01,B
126305,2018-06-16,B,2018-06-16,B
126307,2015-02-26,B,2026-03-01,B
126308,2018-09-26,B,2018-09-26,B
127154,2013-08-01,P,2024-03-09,P
127156,2013-08-01,P,2013-08-01,P
127157,2013-08-01,P,2024-12-03,P
127159,2013-08-01,P,2025-09-06,P
129812,2013-05-07,B,2013-05-07,B
129813,2014-02-17,B,2026-02-04,B
129814,2014-02-04,B,2026-03-01,B
129815,2014-10-30,B,2026-04-06,B
130648,2016-10-06,B,2026-01-25,B
130649,2016-08-08,B,2026-02-01,B
130650,2016-01-11,B,2026-02-04,B
130652,2016-01-11,B,2026-02-04,B
130653,2016-11-04,B,2026-02-02,B
130654,2016-11-25,B,2026-02-01,B
130655,2016-02-19,B,2026-02-03,B
130657,2016-01-08,B,2026-02-04,B
130658,2014-09-04,B,2026-02-01,B
130659,2018-01-12,LB,2026-02-01,LB
130660,2016-01-08,B,2026-02-04,B
130661,2014-09-04,B,2026-02-01,B
136728,2013-12-20,B,2026-02-04,B
144125,2010-04-30,B,2010-10-20,B
144195,2010-05-27,P,2010-05-27,P
144290,2010-02-28,B,2010-02-28,B
144298,2010-02-28,P,2010-02-28,P
144309,2010-02-28,P,2010-02-28,P
144345,2009-07-30,B,2009-07-30,B
144426,2010-03-30,B,2010-03-30,B
144461,2010-03-30,P,2010-03-30,P
144471,2010-04-30,P,2010-04-30,P
144559,2012-09-21,B,2012-09-21,B
144563,2010-05-30,P,2010-05-30,P
144588,2010-05-30,P,2010-05-30,P
144681,2010-06-30,B,2010-06-30,B
144759,2011-08-05,P,2011-08-05,P
144825,2010-11-30,LB,2010-11-30,LB
144826,2011-04-30,B,2011-04-30,B
144830,2010-11-30,B,2010-11-30,B
144831,2010-11-30,B,2010-11-30,B
144971,2010-11-30,P,2010-11-30,P
145361,2010-07-30,P,2010-07-30,P
145407,2010-08-30,B,2010-08-30,B
145443,2010-10-30,B,2010-10-30,B
145614,2011-01-05,P,2011-01-05,P
145652,2011-01-05,P,2011-01-05,P
146098,2009-07-30,B,2009-07-30,B
146138,2009-07-30,VUS,2009-07-30,VUS
146178,2010-10-19,B,2010-10-19,B
146191,2013-02-04,B,2013-07-01,B
146316,2011-01-27,P,2011-01-27,P
146575,2010-10-19,P,2010-10-19,P
146632,2010-10-14,B,2010-10-14,B
146711,2009-11-30,P,2009-11-30,P
147196,2011-03-08,B,2011-03-08,B
147274,2010-10-19,B,2010-10-19,B
147285,2011-09-16,P,2011-09-16,P
147309,2011-09-16,P,2011-09-16,P
147354,2010-12-22,P,2010-12-22,P
147358,2010-12-22,P,2010-12-22,P
147487,2010-12-22,P,2010-12-22,P
147521,2010-12-22,P,2010-12-22,P
147624,2010-01-30,P,2010-01-30,P
147940,2010-10-20,B,2010-10-20,B
147966,2010-12-22,P,2010-12-22,P
148071,2010-12-22,P,2010-12-22,P
148087,2010-12-22,P,2010-12-22,P
148185,2011-03-21,P,2011-03-21,P
148186,2011-03-21,P,2011-03-21,P
148231,2011-04-08,P,2011-04-08,P
148286,2011-07-05,VUS,2011-07-05,VUS
148379,2012-04-05,P,2012-04-05,P
148387,2011-09-12,P,2011-09-12,P
148480,2012-01-13,P,2012-01-13,P
148508,2011-06-05,P,2011-06-05,P
148511,2012-03-09,VUS,2012-03-09,VUS
148654,2011-08-29,P,2011-08-29,P
148700,2011-09-16,P,2011-09-16,P
148701,2011-09-16,P,2011-09-16,P
148909,2011-11-16,LB,2011-11-16,LB
149089,2012-02-10,VUS,2012-02-10,VUS
149180,2012-03-12,LP,2012-03-12,LP
149230,2012-04-02,P,2012-04-02,P
149257,2012-04-16,P,2012-04-16,P
149321,2011-06-20,LB,2011-06-20,LB
149342,2012-09-21,B,2012-09-21,B
149500,2012-09-21,B,2012-09-21,B
149554,2012-06-01,P,2012-06-01,P
149660,2012-09-21,P,2012-09-21,P
149662,2012-09-21,P,2012-09-21,P
149828,2012-09-21,P,2012-09-21,P
149968,2011-08-02,P,2011-08-02,P
150050,2012-05-07,P,2012-05-07,P
150138,2012-05-14,P,2012-05-14,P
150141,2012-05-07,P,2012-05-07,P
150284,2012-09-21,P,2012-09-21,P
150340,2011-07-05,P,2011-07-05,P
150380,2012-05-07,P,2012-05-07,P
150522,2011-07-05,P,2011-07-05,P
150566,2012-09-21,P,2012-09-21,P
