VariationID,first_date,first_bucket,latest_date,latest_bucket,years_to_reclassification,transition
1071,2007-07-01,P,2025-10-31,LP,18.33538672142368,P_to_LP
1078,2012-03-29,P,2026-02-04,B,13.853524982888432,P_to_B
1374,2024-10-01,LP,2026-01-13,P,1.2840520191649556,LP_to_P
2632,2003-08-01,P,2024-01-17,LP,20.462696783025326,P_to_LP
3507,1997-10-01,P,2024-01-10,LP,26.275154004106778,P_to_LP
11960,2003-08-01,P,2024-05-31,VUS,20.83230663928816,P_to_VUS
30703,2013-08-01,P,2026-02-13,LP,12.536618754277892,P_to_LP
30935,2011-03-01,P,2026-02-18,LP,14.97056810403833,P_to_LP
37287,2012-08-03,P,2024-12-18,VUS,12.375085557837098,P_to_VUS
56730,2015-02-25,P,2024-04-30,LP,9.177275838466803,P_to_LP
56764,2018-04-02,LP,2025-12-19,P,7.715263518138261,LP_to_P
56765,2023-04-03,P,2026-01-18,LP,2.7953456536618755,P_to_LP
56771,2021-09-22,P,2023-08-30,LP,1.9356605065023955,P_to_LP
56775,2024-01-09,LP,2025-11-18,P,1.8590006844626967,LP_to_P
92716,2013-01-21,P,2023-12-28,LP,10.932238193018481,P_to_LP
95675,2002-11-01,P,2026-02-02,B,23.255304585900067,P_to_B
96511,2016-07-20,LP,2024-09-20,P,8.16974674880219,LP_to_P
99857,2017-04-28,LP,2026-01-19,P,8.728268309377139,LP_to_P
126260,2013-12-11,P,2025-07-01,LP,11.553730321697467,P_to_LP
126303,2013-09-03,B,2024-09-16,LB,11.0362765229295,B_to_LB
126306,2013-09-13,LP,2025-11-10,P,12.158795345653662,LP_to_P
127158,2013-08-01,P,2026-04-01,LP,12.6652977412731,P_to_LP
156379,2014-09-18,P,2024-06-10,LP,9.727583846680355,P_to_LP
166832,2016-03-02,LB,2026-01-28,B,9.908281998631075,LB_to_B
166837,2014-01-09,P,2025-03-10,LP,11.16495550992471,P_to_LP
166917,2014-01-17,VUS,2023-10-04,LB,9.711156741957563,VUS_to_LB
191259,2016-08-01,P,2024-04-15,LP,7.704312114989733,P_to_LP
194541,2017-04-12,LB,2026-01-31,B,8.804928131416839,LB_to_B
197304,2015-02-19,B,2024-10-22,LB,9.672826830937714,B_to_LB
197816,2014-10-17,B,2026-02-01,LB,11.293634496919918,B_to_LB
198703,2014-09-01,B,2026-01-24,LB,11.397672826830938,B_to_LB
198857,2015-02-02,B,2026-01-24,LB,10.976043805612594,B_to_LB
199049,2014-08-04,P,2024-05-29,LP,9.817932922655714,P_to_LP
208609,2015-01-30,LP,2026-01-26,P,10.989733059548255,LP_to_P
217632,2014-04-18,LP,2025-12-30,P,11.7015742642026,LP_to_P
217693,2015-02-23,P,2025-12-08,LP,10.789869952087612,P_to_LP
217710,2015-02-23,P,2022-04-07,LP,7.1184120465434635,P_to_LP
218850,2015-03-06,LB,2026-02-04,B,10.91854893908282,LB_to_B
219982,2021-11-14,LB,2026-02-01,B,4.216290212183436,LB_to_B
219997,2020-02-01,LP,2023-06-06,P,3.3429158110882957,LP_to_P
220231,2019-08-01,LB,2026-01-12,B,6.450376454483231,LB_to_B
224989,2013-12-09,LP,2022-03-11,P,8.251882272416154,LP_to_P
225493,2016-03-18,LP,2025-12-31,P,9.787816563997263,LP_to_P
235419,2015-08-25,LB,2026-01-18,B,10.401095140314853,LB_to_B
235470,2015-06-04,LB,2026-02-02,B,10.666666666666666,LB_to_B
235474,2015-08-25,LB,2026-01-18,B,10.401095140314853,LB_to_B
235637,2015-12-21,LB,2026-02-02,B,10.119096509240247,LB_to_B
236469,2025-06-22,P,2025-07-18,LP,0.07118412046543464,P_to_LP
240910,2018-01-13,LB,2026-02-01,B,8.05201916495551,LB_to_B
240969,2017-04-28,LB,2026-02-02,B,8.766598220396988,LB_to_B
241575,2018-01-12,LB,2026-01-21,B,8.02464065708419,LB_to_B
241705,2024-08-03,LB,2025-12-13,B,1.3607118412046544,LB_to_B
255706,2018-02-05,LB,2026-01-28,B,7.9780971937029435,LB_to_B
257093,2017-04-27,LB,2026-02-01,B,8.766598220396988,LB_to_B
