VariationID,first_date,first_bucket,latest_date,latest_bucket,years_to_reclassification,transition
1436,2010-10-01,P,2022-11-14,LP,12.120465434633813,P_to_LP
1438,2007-10-01,P,2025-11-19,LP,18.135523613963038,P_to_LP
3489,1991-10-18,P,2017-05-28,LP,25.609856262833677,P_to_LP
3490,1998-04-01,P,2026-01-07,LP,27.770020533880903,P_to_LP
3496,2016-10-18,P,2022-04-11,LP,5.478439425051334,P_to_LP
4175,2002-02-01,P,2025-12-08,LP,23.849418206707735,P_to_LP
5367,2000-04-01,P,2024-02-23,LP,23.89596167008898,P_to_LP
6152,2005-07-01,P,2024-12-23,VUS,19.479808350444902,P_to_VUS
6689,2000-07-15,P,2024-03-15,LP,23.665982203969882,P_to_LP
6874,2009-08-15,P,2025-04-24,LP,15.690622861054072,P_to_LP
7000,1998-05-01,P,2024-05-10,LP,26.026009582477755,P_to_LP
7006,1998-07-01,P,2025-12-11,LP,27.446954140999317,P_to_LP
9591,1998-03-01,P,2022-08-08,LP,24.438056125941138,P_to_LP
9592,1999-08-01,P,2023-01-09,LP,23.44147843942505,P_to_LP
9593,1997-01-01,P,2019-07-12,VUS,22.524298425735797,P_to_VUS
9594,1993-12-01,P,2024-09-09,LP,30.77344284736482,P_to_LP
9595,1996-03-01,P,2024-04-22,LP,28.142368240930868,P_to_LP
9596,1994-03-01,P,2023-05-22,LP,29.22381930184805,P_to_LP
9597,1999-09-01,P,2019-07-12,B,19.860369609856264,P_to_B
9598,2001-11-27,P,2024-04-23,VUS,22.403832991101986,P_to_VUS
9734,2004-10-01,P,2025-05-22,LP,20.637919233401778,P_to_LP
14075,2000-09-01,P,2025-02-07,LP,24.435318275154003,P_to_LP
14084,2009-07-01,P,2024-11-19,LP,15.38672142368241,P_to_LP
14534,2006-09-01,P,2024-03-19,LP,17.54688569472964,P_to_LP
14735,1998-11-01,P,2024-10-17,LP,25.960301163586585,P_to_LP
14742,2001-12-01,P,2024-05-02,LP,22.417522245037645,P_to_LP
29774,2011-06-01,P,2025-03-25,LP,13.815195071868583,P_to_LP
35572,2012-04-19,P,2017-11-10,LP,5.560574948665297,P_to_LP
38966,2018-12-12,P,2025-05-05,LP,6.395619438740589,P_to_LP
44562,2013-03-04,B,2026-02-03,LB,12.919917864476385,B_to_LB
56318,2024-04-13,LP,2024-12-16,P,0.676249144421629,LP_to_P
56334,2021-11-11,LP,2025-12-10,P,4.079397672826831,LP_to_P
56419,2014-10-16,LP,2026-01-11,P,11.238877481177276,LP_to_P
56430,2017-11-30,LP,2025-10-12,P,7.865845311430527,LP_to_P
56438,2014-08-29,LP,2025-11-26,P,11.24435318275154,LP_to_P
56440,2014-04-15,LP,2026-01-28,P,11.789185489390828,LP_to_P
56445,2014-06-18,LP,2026-01-30,P,11.619438740588638,LP_to_P
56447,2017-02-09,LP,2023-02-01,P,5.976728268309377,LP_to_P
56453,2014-04-08,LP,2026-01-09,P,11.756331279945243,LP_to_P
56457,2021-07-31,P,2025-06-17,LP,3.8795345653661877,P_to_LP
56463,2014-11-19,LP,2023-12-06,P,9.045859000684462,LP_to_P
56469,2016-03-03,LP,2025-12-14,P,9.782340862422998,LP_to_P
56471,2018-06-28,VUS,2025-08-19,P,7.143052703627652,VUS_to_P
56473,2014-06-12,LP,2024-10-22,P,10.362765229295004,LP_to_P
56476,2016-04-13,LP,2026-01-19,P,9.768651608487337,LP_to_P
56481,2016-07-22,LP,2025-05-08,P,8.793976728268309,LP_to_P
56487,2016-02-24,LP,2024-05-08,P,8.202600958247775,LP_to_P
56502,2024-02-10,LP,2024-03-22,P,0.11225188227241616,LP_to_P
56514,2018-02-21,LP,2022-11-17,P,4.736481861738535,LP_to_P
56517,2018-05-31,P,2019-02-18,LP,0.7200547570157426,P_to_LP
56523,2017-10-04,P,2025-05-21,LP,7.627652292950034,P_to_LP
91845,2013-12-02,P,2025-04-14,LP,11.364818617385353,P_to_LP
91847,2013-02-01,LP,2020-01-17,P,6.95687885010267,LP_to_P
91850,2013-12-02,P,2023-10-01,LP,9.828884325804244,P_to_LP
126418,2014-05-12,LP,2026-01-12,P,11.671457905544148,LP_to_P
136974,2013-12-30,B,2025-11-04,LB,11.846680355920602,B_to_LB
139531,2014-06-05,P,2023-04-11,VUS,8.848733744010952,P_to_VUS
139533,2014-06-05,P,2021-12-18,VUS,7.537303216974675,P_to_VUS
