VariationID,first_date,first_bucket,latest_date,latest_bucket,years_to_reclassification,transition
12121,2022-12-05,LP,2025-09-26,P,2.809034907597536,LP_to_P
16543,1999-04-23,P,2025-10-02,VUS,26.444900752908968,P_to_VUS
16544,2019-06-11,P,2025-10-02,VUS,6.310746064339494,P_to_VUS
16545,2020-10-08,P,2025-10-02,LP,4.982888432580425,P_to_LP
16551,2004-03-01,P,2025-10-02,LP,21.587953456536617,P_to_LP
16554,2004-03-01,P,2025-10-02,LP,21.587953456536617,P_to_LP
16561,2008-02-01,P,2025-11-19,VUS,17.79876796714579,P_to_VUS
16562,2008-02-01,P,2025-10-02,VUS,17.66735112936345,P_to_VUS
17064,2005-04-29,P,2025-09-30,LP,20.421629021218344,P_to_LP
17406,1996-09-01,P,2025-09-18,LP,29.045859000684462,P_to_LP
17488,1998-01-01,P,2025-10-30,LP,27.82751540041068,P_to_LP
24336,2017-02-17,P,2025-09-30,LP,8.616016427104723,P_to_LP
24342,2017-10-31,LP,2025-08-25,P,7.816563997262149,LP_to_P
24393,2018-09-16,LP,2026-01-04,P,7.301848049281314,LP_to_P
24395,2020-02-29,P,2023-12-08,LP,3.7727583846680357,P_to_LP
24412,2020-05-18,LP,2024-02-05,P,3.7180013689253935,LP_to_P
24419,2017-10-10,LP,2025-06-10,P,7.665982203969883,LP_to_P
24429,2018-09-16,LP,2021-04-10,P,2.565366187542779,LP_to_P
24436,2019-03-27,P,2023-02-25,LP,3.917864476386037,P_to_LP
24503,2014-08-27,P,2026-02-26,LP,11.501711156741958,P_to_LP
24509,2018-09-16,LP,2024-03-19,P,5.505817932922656,LP_to_P
24567,2018-09-16,LP,2021-12-08,P,3.2279260780287475,LP_to_P
24580,2018-09-16,LP,2024-09-01,P,5.960301163586585,LP_to_P
24591,2017-11-10,LP,2026-01-29,P,8.219028062970569,LP_to_P
24621,2017-12-13,LP,2025-11-05,P,7.8959616700889805,LP_to_P
24651,2019-06-12,P,2024-06-20,LP,5.023956194387406,P_to_LP
24662,2014-11-09,P,2024-06-13,LP,9.593429158110883,P_to_LP
24666,2020-02-01,LP,2025-09-09,P,5.604380561259411,LP_to_P
24678,2018-04-25,P,2026-01-23,LP,7.748117727583847,P_to_LP
24714,2018-09-25,P,2021-02-16,LP,2.3956194387405887,P_to_LP
24757,2017-04-03,LP,2025-04-28,P,8.068446269678303,LP_to_P
24773,2016-09-01,P,2025-08-01,LP,8.914442162902121,P_to_LP
102425,2014-02-01,P,2023-08-17,LP,9.538672142368242,P_to_LP
162178,2016-12-12,LB,2021-06-19,B,4.517453798767967,LB_to_B
202203,2013-12-20,LP,2025-09-30,VUS,11.7782340862423,LP_to_VUS
209142,2012-11-30,P,2024-01-03,LP,11.091033538672143,P_to_LP
