VariationID,first_date,first_bucket,latest_date,latest_bucket,transition,years_to_reclassification
89,2010-06-11,P,2024-03-14,LP,P_to_LP,13.757700205338809
874,2005-07-01,VUS,2020-10-19,LB,VUS_to_LB,15.301848049281315
1989,2009-09-01,P,2024-04-11,VUS,P_to_VUS,14.609171800136892
1990,2009-09-01,P,2025-08-07,VUS,P_to_VUS,15.931553730321697
4885,2009-02-15,VUS,2021-06-19,B,VUS_to_B,12.33949349760438
7103,2007-04-01,P,2024-03-02,VUS,P_to_VUS,16.919917864476385
7104,2007-04-01,P,2021-01-09,VUS,P_to_VUS,13.776865160848734
8310,2004-05-25,P,2026-01-01,LP,P_to_LP,21.60438056125941
8598,2007-04-01,P,2026-01-19,VUS,P_to_VUS,18.803559206023273
12257,2002-12-01,P,2023-01-29,LP,P_to_LP,20.161533196440793
12264,2006-09-01,P,2020-01-27,LP,P_to_LP,13.404517453798768
12642,2001-10-01,P,2024-11-05,LP,P_to_LP,23.096509240246405
13915,2013-01-01,LP,2025-12-30,P,LP_to_P,12.993839835728952
13947,2002-04-01,VUS,2026-02-01,B,VUS_to_B,23.838466803559207
13954,2017-04-27,LB,2021-05-15,B,LB_to_B,4.049281314168378
16627,2007-04-01,P,2024-11-05,LP,P_to_LP,17.598904859685145
17701,2008-02-01,P,2024-12-01,LB,P_to_LB,16.83230663928816
17702,2009-03-01,P,2024-04-29,VUS,P_to_VUS,15.162217659137577
17704,2009-03-01,P,2026-01-19,B,P_to_B,16.8870636550308
18062,2003-12-23,P,2024-05-01,VUS,P_to_VUS,20.355920602327174
18065,2018-03-06,B,2021-08-16,LB,B_to_LB,3.4469541409993156
18066,2005-09-01,P,2021-03-05,LP,P_to_LP,15.507186858316222
18070,2005-09-01,P,2024-11-08,LP,P_to_LP,19.186858316221766
18413,2010-12-01,VUS,2026-01-01,LB,VUS_to_LB,15.085557837097879
24889,2018-01-04,LB,2026-03-04,B,LB_to_B,8.161533196440795
24896,2013-01-01,LP,2025-08-13,P,LP_to_P,12.61327857631759
24931,2014-06-01,LB,2026-01-31,P,LB_to_P,11.668720054757015
24948,2015-08-31,LB,2026-01-31,B,LB_to_B,10.420260095824778
24953,2022-03-30,LB,2025-02-27,B,LB_to_B,2.915811088295688
24968,2004-07-01,P,2025-07-17,VUS,P_to_VUS,21.04312114989733
30764,2011-06-01,P,2025-06-12,LP,P_to_LP,14.03148528405202
30766,2011-09-01,P,2025-08-25,VUS,P_to_VUS,13.982203969883642
32153,2013-06-25,P,2018-02-14,LP,P_to_LP,4.640657084188912
36841,2016-06-19,LB,2026-01-28,B,LB_to_B,9.609856262833675
36845,2011-08-18,LP,2025-09-12,P,LP_to_P,14.069815195071868
36848,2011-08-18,LP,2019-07-06,P,LP_to_P,7.882272416153319
36849,2011-08-18,LP,2022-09-02,P,LP_to_P,11.041752224503764
36850,2011-08-18,LP,2023-09-21,P,LP_to_P,12.093086926762492
36855,2016-01-21,LB,2026-01-06,B,LB_to_B,9.960301163586584
38611,2015-12-29,LP,2024-02-29,P,LP_to_P,8.16974674880219
41839,2012-07-13,VUS,2026-02-03,B,VUS_to_B,13.560574948665298
41846,2012-07-13,VUS,2026-02-03,B,VUS_to_B,13.560574948665298
48100,2015-05-05,LB,2025-02-18,B,LB_to_B,9.793292265571527
50207,2012-02-01,P,2023-12-21,LP,P_to_LP,11.885010266940451
60686,2013-08-15,P,2025-12-03,LB,P_to_LB,12.301163586584531
95998,2008-08-28,LB,2025-12-22,VUS,LB_to_VUS,17.31690622861054
126498,2014-02-06,P,2025-03-06,LP,P_to_LP,11.077344284736482
132724,2015-02-23,LB,2026-03-19,B,LB_to_B,11.066392881587953
134470,2018-01-12,B,2025-10-14,LB,B_to_LB,7.753593429158111
134471,2018-01-13,B,2025-02-16,LB,B_to_LB,7.093771389459275
136100,2015-01-16,LB,2026-02-03,B,LB_to_B,11.049965776865161
136106,2022-01-27,B,2026-01-28,LB,B_to_LB,4.002737850787132
136107,2015-06-14,LB,2026-02-03,B,LB_to_B,10.642026009582478
136116,2015-12-10,VUS,2026-02-04,B,VUS_to_B,10.154688569472963
136123,2015-12-04,LB,2026-01-21,B,LB_to_B,10.132785763175907
155929,2014-09-01,P,2024-10-09,VUS,P_to_VUS,10.105407255304586
163432,2012-04-30,LB,2026-01-22,B,LB_to_B,13.730321697467488
180157,2014-11-01,LP,2024-05-25,P,LP_to_P,9.56331279945243
184610,2016-09-06,LB,2026-02-03,B,LB_to_B,9.409993155373032
188268,2015-06-09,LB,2026-01-07,B,LB_to_B,10.581793292265571
188305,2016-03-02,VUS,2026-01-26,LB,VUS_to_LB,9.902806297056811
194804,2016-12-29,LB,2026-01-26,B,LB_to_B,9.075975359342916
194984,2014-10-20,LB,2026-02-01,B,LB_to_B,11.285420944558522
196712,2015-01-28,LB,2026-01-24,B,LB_to_B,10.989733059548255
197016,2014-12-12,B,2026-02-03,LB,B_to_LB,11.145790554414784
208456,2013-05-01,P,2021-07-30,VUS,P_to_VUS,8.24640657084189
208527,2015-08-06,P,2018-08-24,LP,P_to_LP,3.049965776865161
208528,2015-08-06,P,2025-07-07,VUS,P_to_VUS,9.919233401779604
208559,2014-09-24,P,2018-02-28,LP,P_to_LP,3.430527036276523
215531,2015-08-10,LB,2026-02-02,B,LB_to_B,10.483230663928817
217287,2015-10-19,P,2025-07-12,LP,P_to_LP,9.730321697467488
218509,2015-03-06,LB,2026-01-06,B,LB_to_B,10.839151266255989
219833,2017-01-27,LB,2026-01-01,B,LB_to_B,8.928131416837783
220254,2015-01-30,LB,2026-01-28,B,LB_to_B,10.99520876112252
220507,2016-03-02,LB,2025-11-26,B,LB_to_B,9.735797399041752
227367,2012-04-30,LB,2025-12-10,B,LB_to_B,13.612594113620808
235757,2015-09-28,LB,2026-02-04,B,LB_to_B,10.354551676933607
241332,2016-06-27,LB,2026-01-26,B,LB_to_B,9.582477754962355
241344,2020-05-22,LB,2025-02-26,B,LB_to_B,4.766598220396989
241347,2015-11-09,LB,2026-01-31,B,LB_to_B,10.22861054072553
241349,2021-09-01,B,2026-01-25,LB,B_to_LB,4.399726214921286
241365,2021-09-20,B,2026-01-04,LB,B_to_LB,4.290212183436003
256807,2018-01-13,LB,2026-01-19,B,LB_to_B,8.016427104722792
258870,2016-08-19,B,2026-03-01,LB,B_to_LB,9.530458590006845
258873,2015-12-22,B,2026-02-01,LB,B_to_LB,10.113620807665983
258874,2014-11-12,LB,2026-01-31,B,LB_to_B,11.219712525667351
258876,2020-04-07,B,2025-11-06,LB,B_to_LB,5.582477754962355
258877,2016-04-11,B,2026-01-25,LB,B_to_LB,9.790554414784394
261119,2019-12-01,LB,2024-06-06,B,LB_to_B,4.514715947980835
261123,2021-07-08,LB,2023-08-29,B,LB_to_B,2.1409993155373033
261124,2018-07-14,B,2026-04-06,LB,B_to_LB,7.728952772073922
261128,2018-09-26,LB,2026-01-28,B,LB_to_B,7.340177960301164
261133,2019-01-04,B,2026-03-30,LB,B_to_LB,7.233401779603011
261151,2017-05-24,LB,2026-02-04,B,LB_to_B,8.700889801505818
261153,2017-05-24,LB,2026-02-04,B,LB_to_B,8.700889801505818
261169,2018-07-14,B,2026-03-31,LB,B_to_LB,7.712525667351129
261800,2017-09-18,LB,2026-02-04,B,LB_to_B,8.380561259411362
274004,2016-11-18,P,2025-03-12,VUS,P_to_VUS,8.31211498973306
281467,2015-06-25,B,2026-03-24,LB,B_to_LB,10.746064339493497
281468,2015-06-25,B,2026-01-26,LB,B_to_LB,10.590006844626968
285269,2016-01-27,LB,2025-12-25,B,LB_to_B,9.911019849418206
285788,2016-02-05,P,2024-02-16,LP,P_to_LP,8.030116358658454
286096,2016-02-26,LB,2026-01-05,B,LB_to_B,9.859000684462696
289291,2016-08-04,LB,2026-01-26,B,LB_to_B,9.478439425051334
294956,2016-12-12,LB,2026-02-03,B,LB_to_B,9.144421629021219
294959,2017-02-13,LB,2026-02-01,B,LB_to_B,8.966461327857632
294964,2018-01-13,B,2026-02-01,LB,B_to_LB,8.05201916495551
296081,2018-01-12,VUS,2019-10-28,LB,VUS_to_LB,1.7905544147843941
299936,2018-01-13,B,2018-01-13,LB,B_to_LB,0.0
299937,2018-01-13,B,2021-05-15,LB,B_to_LB,3.3347022587268995
301105,2018-01-12,B,2018-12-22,LB,B_to_LB,0.9418206707734429
301116,2018-01-12,B,2018-06-16,LB,B_to_LB,0.4243668720054757
301125,2018-01-13,B,2025-09-18,LB,B_to_LB,7.6796714579055445
301126,2018-01-13,B,2025-12-01,LB,B_to_LB,7.882272416153319
301127,2018-01-13,B,2025-11-19,LB,B_to_LB,7.8494182067077345
301133,2019-08-06,B,2025-09-10,LB,B_to_LB,6.09719370294319
301142,2018-01-12,B,2023-03-01,LB,B_to_LB,5.130732375085558
310276,2018-01-12,VUS,2021-08-09,LB,VUS_to_LB,3.572895277207392
310304,2018-01-13,LB,2026-01-29,B,LB_to_B,8.043805612594113
310306,2018-01-13,LB,2026-01-21,B,LB_to_B,8.021902806297057
310309,2018-01-13,LB,2026-01-27,B,LB_to_B,8.038329911019849
311971,2018-01-13,LB,2026-02-04,B,LB_to_B,8.060232717316905
311977,2018-01-13,LB,2026-02-04,B,LB_to_B,8.060232717316905
311996,2018-01-13,LB,2026-02-04,B,LB_to_B,8.060232717316905
312017,2021-08-11,LB,2026-01-28,B,LB_to_B,4.465434633812457
312039,2018-01-13,LB,2026-01-28,B,LB_to_B,8.041067761806982
312083,2018-01-13,LB,2023-05-01,B,LB_to_B,5.295003422313484
313336,2018-01-13,LB,2018-01-13,B,LB_to_B,0.0
313444,2018-01-13,B,2018-01-13,LB,B_to_LB,0.0
313445,2018-01-13,LB,2018-01-13,B,LB_to_B,0.0
313456,2018-01-13,LB,2018-01-13,B,LB_to_B,0.0
313460,2018-01-13,B,2018-12-22,LB,B_to_LB,0.9390828199863107
313466,2018-01-13,LB,2026-01-05,B,LB_to_B,7.9780971937029435
313467,2018-01-13,LB,2018-01-13,B,LB_to_B,0.0
313470,2018-01-13,B,2018-01-13,LB,B_to_LB,0.0
313472,2018-01-12,B,2018-01-12,LB,B_to_LB,0.0
318282,2017-04-28,LB,2025-12-31,B,LB_to_B,8.676249144421629
318287,2018-01-13,B,2025-11-01,LB,B_to_LB,7.800136892539356
318293,2021-08-10,LB,2025-12-30,B,LB_to_B,4.388774811772758
318296,2018-06-01,LB,2026-01-19,B,LB_to_B,7.6358658453114305
322942,2018-01-12,LB,2024-08-25,VUS,LB_to_VUS,6.617385352498289
322945,2017-04-28,LB,2025-12-22,B,LB_to_B,8.65160848733744
324361,2017-04-27,LB,2026-01-06,B,LB_to_B,8.695414099931554
324386,2017-04-27,LB,2026-01-26,B,LB_to_B,8.750171115674195
324410,2018-01-13,LB,2026-01-12,B,LB_to_B,7.997262149212868
324420,2018-01-12,LB,2026-01-08,B,LB_to_B,7.989048596851472
341969,2018-01-12,LB,2019-12-31,B,LB_to_B,1.9657768651608487
341971,2018-01-13,LB,2019-12-31,B,LB_to_B,1.9630390143737166
341972,2017-04-27,LB,2019-12-31,B,LB_to_B,2.6776180698151952
341975,2018-01-13,VUS,2022-02-08,LB,VUS_to_LB,4.071184120465435
341980,2018-01-12,LB,2019-12-31,B,LB_to_B,1.9657768651608487
341983,2017-12-04,B,2018-01-13,LB,B_to_LB,0.10951403148528405
346687,2017-04-28,LB,2026-02-01,B,LB_to_B,8.763860369609857
346696,2018-01-13,B,2025-11-09,LB,B_to_LB,7.822039698836414
346699,2018-01-12,B,2025-12-21,LB,B_to_LB,7.939767282683094
346700,2018-01-13,B,2025-06-12,LB,B_to_LB,7.411362080766598
346701,2018-01-13,B,2022-05-04,LB,B_to_LB,4.303901437371663
346708,2018-01-12,B,2023-12-05,LB,B_to_LB,5.894592744695414
346712,2018-01-12,B,2025-07-20,LB,B_to_LB,7.51813826146475
346714,2018-01-13,B,2025-12-26,LB,B_to_LB,7.950718685831622
349654,2018-01-13,LB,2026-01-28,B,LB_to_B,8.041067761806982
349682,2017-02-27,LB,2026-01-28,B,LB_to_B,8.917180013689254
349686,2018-01-13,LB,2026-02-02,B,LB_to_B,8.054757015742641
349719,2018-01-12,LB,2026-01-28,B,LB_to_B,8.043805612594113
349721,2018-01-13,LB,2026-02-02,B,LB_to_B,8.054757015742641
349735,2018-01-13,LB,2026-01-28,B,LB_to_B,8.041067761806982
349746,2018-01-12,LB,2026-01-23,B,LB_to_B,8.030116358658454
349747,2018-01-13,LB,2026-02-01,B,LB_to_B,8.05201916495551
349768,2018-01-13,LB,2026-01-28,B,LB_to_B,8.041067761806982
349771,2018-01-13,LB,2026-01-25,B,LB_to_B,8.032854209445585
349793,2018-01-13,LB,2026-01-26,B,LB_to_B,8.035592060232718
349800,2018-01-13,LB,2026-01-19,B,LB_to_B,8.016427104722792
363646,2018-01-12,B,2020-06-12,LB,B_to_LB,2.414784394250513
363648,2018-01-13,B,2026-01-05,LB,B_to_LB,7.9780971937029435
363654,2018-01-12,LB,2025-12-15,B,LB_to_B,7.923340177960301
363664,2018-01-13,LB,2018-01-13,B,LB_to_B,0.0
363665,2018-01-13,LB,2018-01-13,B,LB_to_B,0.0
366099,2018-01-12,LB,2026-01-16,B,LB_to_B,8.010951403148528
366119,2016-11-01,B,2025-12-15,LB,B_to_LB,9.119780971937029
372086,2016-07-28,LB,2026-01-24,B,LB_to_B,9.492128678986996
372092,2016-09-07,LB,2025-02-01,B,LB_to_B,8.402464065708418
372098,2016-10-25,LB,2026-01-28,B,LB_to_B,9.259411362080767
373424,2016-11-28,LP,2025-06-06,P,LP_to_P,8.5201916495551
377055,2017-01-12,B,2024-02-08,LB,B_to_LB,7.0718685831622174
377967,2016-11-02,LB,2024-12-06,B,LB_to_B,8.093086926762492
378846,2015-05-06,LB,2019-06-28,B,LB_to_B,4.145106091718001
379291,2015-04-23,LB,2026-01-18,B,LB_to_B,10.740588637919233
384591,2020-12-24,LP,2024-09-19,VUS,LP_to_VUS,3.7371663244353184
389515,2016-09-21,LB,2025-11-23,B,LB_to_B,9.17180013689254
392411,2017-01-09,LP,2019-07-06,P,LP_to_P,2.485968514715948
413453,2021-06-28,LB,2025-02-26,B,LB_to_B,3.6659822039698837
413471,2021-10-18,B,2025-11-05,LB,B_to_LB,4.049281314168378
419700,2015-09-09,P,2022-03-26,LP,P_to_LP,6.543463381245722
429714,2017-05-15,P,2021-11-19,LP,P_to_LP,4.514715947980835
429788,2021-12-23,LP,2025-07-21,P,LP_to_P,3.575633127994524
430489,2019-06-27,B,2026-03-30,LB,B_to_LB,6.757015742642026
430696,2016-11-02,P,2024-04-05,LP,P_to_LP,7.422313483915127
441279,2005-07-01,P,2022-08-03,LP,P_to_LP,17.089664613278575
445627,2017-05-30,LB,2026-01-27,B,LB_to_B,8.66255989048597
445688,2017-04-20,LB,2025-08-01,B,LB_to_B,8.281998631074606
445933,2017-08-31,LB,2026-02-01,B,LB_to_B,8.421629021218344
446167,2015-02-03,LP,2022-02-03,P,LP_to_P,7.000684462696783
459256,2022-04-14,P,2022-08-01,LP,P_to_LP,0.29842573579739906
463526,2020-06-30,LB,2026-01-06,B,LB_to_B,5.519507186858316
480782,2016-06-10,LB,2025-02-27,B,LB_to_B,8.71731690622861
486330,2017-07-25,LB,2025-02-27,B,LB_to_B,7.594798083504449
496815,2018-02-26,VUS,2026-01-26,B,VUS_to_B,7.915126625598905
496847,2017-02-09,B,2020-04-28,LB,B_to_LB,3.2142368240930868
497434,2016-10-05,LB,2026-02-02,B,LB_to_B,9.32785763175907
498506,2016-11-23,LB,2026-01-25,B,LB_to_B,9.17180013689254
499147,2016-12-08,P,2025-05-19,LP,P_to_LP,8.4435318275154
504571,2017-01-25,LB,2026-01-15,B,LB_to_B,8.971937029431896
512355,2020-12-15,LB,2026-01-24,B,LB_to_B,5.108829568788501
513653,2020-11-04,LB,2025-11-12,B,LB_to_B,5.021218343600274
514988,2020-09-16,LB,2025-12-29,B,LB_to_B,5.284052019164956
516123,2021-03-04,LB,2026-02-01,B,LB_to_B,4.914442162902122
517597,2019-03-01,B,2025-11-19,LB,B_to_LB,6.721423682409308
521427,2016-12-12,P,2025-02-11,LP,P_to_LP,8.167008898015059
522066,2017-09-18,P,2025-06-26,LP,P_to_LP,7.770020533880904
522400,2017-08-03,P,2023-11-30,LP,P_to_LP,6.324435318275154
523570,2017-01-01,P,2022-12-30,LP,P_to_LP,5.993155373032169
543766,2020-11-27,LB,2025-02-25,B,LB_to_B,4.246406570841889
546997,2020-11-24,B,2026-04-16,LB,B_to_LB,5.390828199863107
559144,2016-02-23,LB,2026-01-27,B,LB_to_B,9.927446954140999
559147,2016-02-19,VUS,2026-03-01,LB,VUS_to_LB,10.028747433264886
559148,2016-02-23,VUS,2026-01-27,B,VUS_to_B,9.927446954140999
559153,2018-03-19,LB,2025-12-23,B,LB_to_B,7.7645448323066395
559155,2016-02-25,LB,2026-03-01,B,LB_to_B,10.012320328542094
562380,2018-09-16,LP,2022-08-27,P,LP_to_P,3.9452429842573578
562383,2018-09-16,LP,2021-01-09,VUS,LP_to_VUS,2.316221765913758
562392,2018-09-16,LP,2024-08-28,VUS,LP_to_VUS,5.949349760438056
562404,2018-09-16,LP,2024-04-14,P,LP_to_P,5.577002053388091
