VariationID,first_date,first_bucket,latest_date,latest_bucket,years_to_reclassification,transition
89,2010-06-11,P,2024-03-14,LP,13.757700205338809,P_to_LP
874,2005-07-01,VUS,2020-10-19,LB,15.301848049281315,VUS_to_LB
1989,2009-09-01,P,2024-04-11,VUS,14.609171800136892,P_to_VUS
1990,2009-09-01,P,2025-08-07,VUS,15.931553730321697,P_to_VUS
4885,2009-02-15,VUS,2021-06-19,B,12.33949349760438,VUS_to_B
7103,2007-04-01,P,2024-03-02,VUS,16.919917864476385,P_to_VUS
7104,2007-04-01,P,2021-01-09,VUS,13.776865160848734,P_to_VUS
8310,2004-05-25,P,2026-01-01,LP,21.60438056125941,P_to_LP
8598,2007-04-01,P,2026-01-19,VUS,18.803559206023273,P_to_VUS
12257,2002-12-01,P,2023-01-29,LP,20.161533196440793,P_to_LP
12264,2006-09-01,P,2020-01-27,LP,13.404517453798768,P_to_LP
12642,2001-10-01,P,2024-11-05,LP,23.096509240246405,P_to_LP
13915,2013-01-01,LP,2025-12-30,P,12.993839835728952,LP_to_P
13947,2002-04-01,VUS,2026-02-01,B,23.838466803559207,VUS_to_B
13954,2017-04-27,LB,2021-05-15,B,4.049281314168378,LB_to_B
16627,2007-04-01,P,2024-11-05,LP,17.598904859685145,P_to_LP
17701,2008-02-01,P,2024-12-01,LB,16.83230663928816,P_to_LB
17702,2009-03-01,P,2024-04-29,VUS,15.162217659137577,P_to_VUS
17704,2009-03-01,P,2026-01-19,B,16.8870636550308,P_to_B
18062,2003-12-23,P,2024-05-01,VUS,20.355920602327174,P_to_VUS
18065,2018-03-06,B,2021-08-16,LB,3.4469541409993156,B_to_LB
18066,2005-09-01,P,2021-03-05,LP,15.507186858316222,P_to_LP
18070,2005-09-01,P,2024-11-08,LP,19.186858316221766,P_to_LP
18413,2010-12-01,VUS,2026-01-01,LB,15.085557837097879,VUS_to_LB
24889,2018-01-04,LB,2026-03-04,B,8.161533196440795,LB_to_B
24896,2013-01-01,LP,2025-08-13,P,12.61327857631759,LP_to_P
24931,2014-06-01,LB,2026-01-31,P,11.668720054757015,LB_to_P
24948,2015-08-31,LB,2026-01-31,B,10.420260095824778,LB_to_B
24953,2022-03-30,LB,2025-02-27,B,2.915811088295688,LB_to_B
24968,2004-07-01,P,2025-07-17,VUS,21.04312114989733,P_to_VUS
30764,2011-06-01,P,2025-06-12,LP,14.03148528405202,P_to_LP
30766,2011-09-01,P,2025-08-25,VUS,13.982203969883642,P_to_VUS
32153,2013-06-25,P,2018-02-14,LP,4.640657084188912,P_to_LP
36841,2016-06-19,LB,2026-01-28,B,9.609856262833675,LB_to_B
36845,2011-08-18,LP,2025-09-12,P,14.069815195071868,LP_to_P
36848,2011-08-18,LP,2019-07-06,P,7.882272416153319,LP_to_P
36849,2011-08-18,LP,2022-09-02,P,11.041752224503764,LP_to_P
36850,2011-08-18,LP,2023-09-21,P,12.093086926762492,LP_to_P
36855,2016-01-21,LB,2026-01-06,B,9.960301163586584,LB_to_B
38611,2015-12-29,LP,2024-02-29,P,8.16974674880219,LP_to_P
41839,2012-07-13,VUS,2026-02-03,B,13.560574948665298,VUS_to_B
41846,2012-07-13,VUS,2026-02-03,B,13.560574948665298,VUS_to_B
48100,2015-05-05,LB,2025-02-18,B,9.793292265571527,LB_to_B
50207,2012-02-01,P,2023-12-21,LP,11.885010266940451,P_to_LP
60686,2013-08-15,P,2025-12-03,LB,12.301163586584531,P_to_LB
95998,2008-08-28,LB,2025-12-22,VUS,17.31690622861054,LB_to_VUS
126498,2014-02-06,P,2025-03-06,LP,11.077344284736482,P_to_LP
132724,2015-02-23,LB,2026-03-19,B,11.066392881587953,LB_to_B
134470,2018-01-12,B,2025-10-14,LB,7.753593429158111,B_to_LB
134471,2018-01-13,B,2025-02-16,LB,7.093771389459275,B_to_LB
136100,2015-01-16,LB,2026-02-03,B,11.049965776865161,LB_to_B
136106,2022-01-27,B,2026-01-28,LB,4.002737850787132,B_to_LB
136107,2015-06-14,LB,2026-02-03,B,10.642026009582478,LB_to_B
136116,2015-12-10,VUS,2026-02-04,B,10.154688569472963,VUS_to_B
136123,2015-12-04,LB,2026-01-21,B,10.132785763175907,LB_to_B
155929,2014-09-01,P,2024-10-09,VUS,10.105407255304586,P_to_VUS
163432,2012-04-30,LB,2026-01-22,B,13.730321697467488,LB_to_B
180157,2014-11-01,LP,2024-05-25,P,9.56331279945243,LP_to_P
184610,2016-09-06,LB,2026-02-03,B,9.409993155373032,LB_to_B
188268,2015-06-09,LB,2026-01-07,B,10.581793292265571,LB_to_B
188305,2016-03-02,VUS,2026-01-26,LB,9.902806297056811,VUS_to_LB
194804,2016-12-29,LB,2026-01-26,B,9.075975359342916,LB_to_B
194984,2014-10-20,LB,2026-02-01,B,11.285420944558522,LB_to_B
196712,2015-01-28,LB,2026-01-24,B,10.989733059548255,LB_to_B
197016,2014-12-12,B,2026-02-03,LB,11.145790554414784,B_to_LB
208456,2013-05-01,P,2021-07-30,VUS,8.24640657084189,P_to_VUS
208527,2015-08-06,P,2018-08-24,LP,3.049965776865161,P_to_LP
208528,2015-08-06,P,2025-07-07,VUS,9.919233401779604,P_to_VUS
208559,2014-09-24,P,2018-02-28,LP,3.430527036276523,P_to_LP
215531,2015-08-10,LB,2026-02-02,B,10.483230663928817,LB_to_B
217287,2015-10-19,P,2025-07-12,LP,9.730321697467488,P_to_LP
218509,2015-03-06,LB,2026-01-06,B,10.839151266255989,LB_to_B
219833,2017-01-27,LB,2026-01-01,B,8.928131416837783,LB_to_B
220254,2015-01-30,LB,2026-01-28,B,10.99520876112252,LB_to_B
220507,2016-03-02,LB,2025-11-26,B,9.735797399041752,LB_to_B
227367,2012-04-30,LB,2025-12-10,B,13.612594113620808,LB_to_B
235757,2015-09-28,LB,2026-02-04,B,10.354551676933607,LB_to_B
241332,2016-06-27,LB,2026-01-26,B,9.582477754962355,LB_to_B
241344,2020-05-22,LB,2025-02-26,B,4.766598220396989,LB_to_B
241347,2015-11-09,LB,2026-01-31,B,10.22861054072553,LB_to_B
241349,2021-09-01,B,2026-01-25,LB,4.399726214921286,B_to_LB
241365,2021-09-20,B,2026-01-04,LB,4.290212183436003,B_to_LB
256807,2018-01-13,LB,2026-01-19,B,8.016427104722792,LB_to_B
258870,2016-08-19,B,2026-03-01,LB,9.530458590006845,B_to_LB
258873,2015-12-22,B,2026-02-01,LB,10.113620807665983,B_to_LB
258874,2014-11-12,LB,2026-01-31,B,11.219712525667351,LB_to_B
258876,2020-04-07,B,2025-11-06,LB,5.582477754962355,B_to_LB
258877,2016-04-11,B,2026-01-25,LB,9.790554414784394,B_to_LB
261119,2019-12-01,LB,2024-06-06,B,4.514715947980835,LB_to_B
261123,2021-07-08,LB,2023-08-29,B,2.1409993155373033,LB_to_B
261124,2018-07-14,B,2026-04-06,LB,7.728952772073922,B_to_LB
261128,2018-09-26,LB,2026-01-28,B,7.340177960301164,LB_to_B
261133,2019-01-04,B,2026-03-30,LB,7.233401779603011,B_to_LB
261151,2017-05-24,LB,2026-02-04,B,8.700889801505818,LB_to_B
261153,2017-05-24,LB,2026-02-04,B,8.700889801505818,LB_to_B
261169,2018-07-14,B,2026-03-31,LB,7.712525667351129,B_to_LB
261800,2017-09-18,LB,2026-02-04,B,8.380561259411362,LB_to_B
