VariationID,first_date,first_bucket,latest_date,latest_bucket
1050,2010-01-01,P,2024-06-06,P
1051,2010-01-01,P,2025-05-12,P
1052,2010-01-01,P,2025-06-12,P
1053,2010-01-01,P,2025-06-12,P
1054,2010-01-01,P,2010-01-01,P
1200,2010-10-01,P,2010-10-01,P
1440,2007-10-01,P,2025-05-30,P
2344,2006-12-01,P,2006-12-01,P
2345,2006-12-01,P,2026-02-20,P
2346,2006-12-01,P,2006-12-01,P
2347,2006-12-01,P,2006-12-01,P
2348,2006-12-01,P,2006-12-01,P
2349,2006-12-01,P,2006-12-01,P
2350,2006-12-01,P,2006-12-01,P
2908,2005-12-15,P,2005-12-15,P
3484,1991-10-03,P,1991-10-03,P
3485,1991-10-03,P,1991-10-03,P
3486,1997-12-01,P,1997-12-01,P
3487,2007-10-01,P,2025-09-04,P
3488,2008-02-15,P,2025-12-02,P
3491,1992-05-01,P,2022-10-06,P
3492,1992-05-01,P,1992-05-01,P
3493,1992-05-01,P,2026-04-24,P
3494,1997-04-15,P,2026-02-11,P
3495,1998-04-01,P,2022-10-09,P
3497,1996-12-15,P,2025-11-12,P
3498,2016-10-18,P,2025-01-08,P
3499,1993-12-01,P,1993-12-01,P
3500,2002-06-01,P,2026-03-27,P
3502,1998-04-01,P,1998-04-01,P
3504,1999-01-01,P,1999-01-01,P
3505,2007-10-01,P,2024-03-07,P
3506,2008-09-15,P,2008-09-15,P
4171,2009-01-01,P,2026-01-26,P
4172,2002-02-01,P,2024-02-19,P
4173,2002-02-01,P,2022-07-11,P
4174,2002-02-01,P,2002-02-01,P
4178,2009-10-15,P,2025-09-21,P
5360,2002-02-15,P,2026-01-03,P
5361,2007-01-01,P,2025-08-01,P
5366,2000-04-01,P,2000-04-01,P
5368,2000-04-01,P,2025-10-21,P
5369,2000-04-01,P,2025-10-15,P
5420,2000-03-01,P,2024-03-22,P
5421,2000-03-01,P,2019-01-21,P
5422,2000-03-01,P,2000-03-01,P
5703,2003-05-23,P,2024-03-26,P
6151,2005-06-17,P,2023-07-17,P
6153,2005-07-01,P,2005-07-01,P
6155,2005-07-01,P,2026-01-01,P
6156,2005-07-01,P,2025-04-10,P
6867,2002-02-15,P,2026-03-05,P
6872,2000-02-01,P,2000-02-01,P
6873,2002-02-15,P,2025-12-15,P
6875,2007-05-01,P,2025-07-21,P
7001,1998-05-01,P,2025-03-19,P
7002,1998-05-01,P,1998-05-01,P
7003,1998-07-01,P,1998-07-01,P
7004,1998-07-01,P,2025-08-10,P
7005,1998-07-01,P,2025-07-23,P
7007,1998-12-01,P,2025-11-02,P
7008,1998-12-01,P,2020-12-31,P
7010,1998-12-01,P,2025-09-28,P
7011,2000-04-01,P,2000-04-01,P
7012,2008-10-01,P,2008-10-01,P
7376,2008-03-01,P,2008-03-01,P
7377,2008-03-01,P,2025-11-24,P
7378,2011-06-01,P,2024-10-09,P
7379,2008-07-15,P,2008-07-15,P
9589,2010-10-01,P,2026-01-14,P
9590,2005-08-01,P,2025-12-17,P
9599,2010-06-11,VUS,2024-04-22,VUS
9600,2010-06-11,P,2025-11-10,P
14072,2001-11-01,P,2025-12-31,P
14073,2001-11-01,P,2025-12-02,P
14074,2000-09-01,P,2025-06-10,P
14076,2000-11-01,P,2000-11-01,P
14077,2003-05-01,P,2024-08-28,P
14078,2003-05-01,P,2025-09-05,P
14079,2006-12-01,P,2026-04-30,P
14080,2005-02-01,P,2005-02-01,P
14081,2002-02-01,P,2025-03-24,P
14082,2003-07-15,P,2026-01-02,P
14083,2006-10-15,P,2024-12-18,P
14085,2009-07-01,P,2024-01-30,P
14086,2005-01-01,P,2005-01-01,P
14529,2004-11-01,P,2004-11-01,P
14530,2004-11-01,P,2025-05-02,P
14531,2004-11-01,P,2004-11-01,P
14532,2005-09-15,P,2025-06-24,P
14533,2005-09-15,P,2005-09-15,P
14535,2006-09-01,P,2006-09-01,P
14536,2006-09-01,P,2006-09-01,P
14537,2009-03-01,P,2009-03-01,P
14538,2009-03-01,P,2021-04-12,P
14730,1995-06-01,P,1995-06-01,P
14731,1998-11-01,P,2024-03-26,P
14732,1998-04-01,P,1998-04-01,P
14733,1998-04-01,P,2025-06-28,P
14734,1998-11-01,P,2023-12-05,P
14736,1998-11-01,P,2024-03-29,P
14737,1998-11-01,P,1998-11-01,P
14738,1998-11-01,P,1998-11-01,P
14739,1999-10-01,P,2023-05-09,P
14740,2000-05-01,P,2000-05-01,P
14741,2002-12-01,P,2002-12-01,P
14743,2001-12-01,P,2025-04-17,P
14744,2008-04-15,P,2008-04-15,P
18422,2010-07-01,P,2021-08-24,P
18423,2010-07-01,P,2024-03-26,P
18424,2010-07-01,P,2023-07-06,P
30110,2011-07-15,P,2011-07-15,P
30111,2011-07-15,P,2011-07-15,P
30191,2011-07-28,P,2011-07-28,P
30192,2011-07-28,P,2011-07-28,P
30257,2009-10-01,P,2015-03-05,P
30258,2009-10-01,P,2009-10-01,P
30291,2011-01-06,P,2011-01-06,P
30865,2011-12-22,P,2011-12-22,P
30866,2011-12-22,P,2022-01-14,P
30867,2011-12-22,P,2024-12-10,P
30868,2011-12-22,P,2011-12-22,P
31595,2011-05-01,P,2024-10-18,P
31598,2011-05-01,P,2011-05-01,P
32288,2009-12-30,P,2011-08-05,P
33205,2010-08-27,P,2010-08-27,P
35570,2012-04-19,P,2012-04-19,P
35571,2012-04-19,P,2012-04-19,P
38965,2023-07-17,P,2023-07-17,P
38967,2012-05-07,B,2026-02-04,B
39578,2013-02-01,P,2025-09-26,P
39579,2013-02-01,P,2025-09-26,P
39580,2013-02-01,P,2025-09-26,P
44548,2012-04-30,B,2026-02-03,B
44549,2012-05-07,B,2026-02-01,B
44550,2012-05-07,B,2026-02-04,B
44551,2012-05-07,B,2026-02-04,B
44552,2012-04-30,B,2026-01-27,B
44553,2012-05-07,B,2026-01-27,B
44554,2015-02-02,B,2025-12-06,B
44555,2012-05-07,B,2026-02-02,B
44556,2012-05-07,B,2026-02-02,B
44558,2012-05-07,B,2026-02-02,B
44559,2012-05-07,B,2026-02-04,B
44560,2012-05-07,B,2026-02-01,B
44561,2012-04-30,B,2026-01-26,B
44563,2012-05-07,B,2026-02-04,B
44564,2013-02-23,LB,2013-02-23,LB
