VariationID,first_date,first_bucket,latest_date,latest_bucket
29,2010-09-10,P,2026-01-20,P
30,2010-09-10,P,2025-11-18,P
32,2010-09-10,P,2010-09-10,P
34,2010-09-10,P,2025-10-03,P
914,1982-10-01,P,1982-10-01,P
915,1983-01-01,P,1983-01-01,P
916,1996-04-01,P,1996-04-01,P
917,1992-03-01,P,1992-03-01,P
919,1995-01-01,P,1995-01-01,P
920,2003-02-01,P,2003-02-01,P
1165,1994-08-15,P,1994-08-15,P
1361,2006-11-01,P,2025-12-15,P
1362,2006-11-01,P,2006-11-01,P
1363,2006-11-01,P,2006-11-01,P
1426,2006-02-01,P,2017-09-30,P
1430,2006-02-01,P,2006-02-01,P
1431,2006-02-01,P,2025-10-03,P
1432,2006-02-01,P,2025-09-21,P
1433,2006-10-01,P,2026-01-19,P
1435,2006-10-01,P,2006-10-01,P
2954,1997-05-15,P,2025-04-10,P
2955,1997-05-15,P,1997-05-15,P
3512,2008-09-01,P,2024-06-28,P
3513,2002-05-23,P,2026-01-05,P
3514,2002-05-23,P,2002-05-23,P
3515,2005-04-01,P,2005-04-01,P
3516,2008-09-01,P,2026-01-26,P
3517,2008-09-01,P,2008-09-01,P
4598,2008-10-03,P,2008-10-03,P
5150,2000-09-01,P,2026-01-18,P
5152,2002-11-01,P,2022-05-09,P
5153,2000-09-01,P,2000-09-01,P
5155,2000-09-01,P,2000-09-01,P
5156,2000-09-01,P,2000-09-01,P
5158,2002-11-01,P,2002-11-01,P
5159,2002-11-01,P,2025-06-27,P
5636,2014-10-01,P,2026-01-31,P
5637,2000-08-01,P,2026-01-20,P
5641,2013-01-25,B,2026-02-04,B
5642,1991-12-01,P,2024-06-03,P
5643,2000-11-17,P,2025-01-02,P
5644,2013-01-25,P,2026-01-05,P
5645,2013-01-25,P,2026-01-14,P
5646,2013-01-25,P,2026-02-04,P
5647,1997-06-01,P,2026-01-27,P
5648,1997-06-01,P,2025-12-23,P
5649,1997-06-01,P,2024-10-17,P
5650,1999-06-01,P,2025-11-06,P
5780,2005-01-01,P,2023-03-16,P
5783,2005-01-01,P,2025-10-03,P
5786,1999-09-01,P,1999-09-01,P
5787,2001-02-15,P,2025-03-24,P
5788,2002-11-01,P,2024-08-26,P
5925,1999-07-02,P,2025-05-01,P
5926,2000-06-01,P,2024-02-28,P
5927,1999-07-02,P,2025-05-01,P
5928,1999-07-02,P,2025-09-11,P
5929,1999-07-02,P,1999-07-02,P
5930,1999-07-02,P,1999-07-02,P
5932,1999-07-02,P,1999-07-02,P
5933,1999-07-02,P,1999-07-02,P
